,Avg[1],SD[1],Min[1],Max[1],Avg[2],SD[2],Min[2],Max[2],Avg[3],SD[3],Min[3],Max[3],Avg[4],SD[4],Min[4],Max[4],Avg[5],SD[5],Min[5],Max[5]
GDP growth,0.00991344522541312,0.00412325475057818,0.00535803578313625,0.0274312660186308,0.00930776334954212,0.00384639773911024,0.00474295925507275,0.0231478889106442,0.00768161981627272,0.0022142000386908,0.00368067322350805,0.014066500164446,0.00851861023636173,0.00794681912725148,0.00293474720999055,0.0526475770127943,0.012830799040562,0.0422373033521005,0.00133181205120195,0.304489538132217
Volatility of GDP growth,0.0194944443798102,0.00353886349663976,0.0153131892322698,0.0344890178212261,0.0190418598799888,0.00330080598349226,0.0127797989941882,0.0302956148752738,0.0185550949106345,0.00195800205961386,0.0143215101778115,0.0224325047974799,0.0208007098906456,0.00672835146183257,0.0158248530899146,0.0571283712407295,0.160195766248391,0.980377478124548,0.0167668635906345,6.95382724539741
Volatility of GDP,108.432198079617,88.7656833153069,38.6303041103353,498.619654655176,99.0331757290708,104.067370389885,36.5176051856661,531.108153611519,72.2680244814998,39.4423766888147,22.0654596487748,187.455412865903,204.410611247961,793.889774982325,22.4370445066134,5485.13784209224,75.130374895287,71.8178435645265,16.4545428648727,454.123538718337
Inflation,0.0170520093939495,0.00140555343399487,0.0144507251298928,0.0214434053770675,0.0155741691954243,0.00140989194606532,0.01214062337393,0.01916124324119,0.0139888344091751,0.00117003689913622,0.0116799520082453,0.01705776395898,0.0139899850799634,0.00129361324290897,0.0103773578921208,0.0164145360197275,0.0135709839719319,0.00106271425281015,0.0110835070059225,0.01579998192009
Consumption growth,0.00241517261772816,0.000970055378497138,0.00130808944393955,0.0066303695398268,0.00226276896999868,0.000902155449381105,0.00118250453989415,0.00549666827795077,0.00192311641145241,0.00048896974568765,0.000989478125491225,0.0033340388102116,0.00220765482640867,0.00181668706904144,0.00108469969632337,0.0123575220534506,0.00188370735517412,0.000834122368907161,-0.000772132536443275,0.00494113540263295
Investment growth,0.00332583373827035,0.00114368784431639,0.00205011075573635,0.00801242409315302,0.00309948803459636,0.00106633331472596,0.00144277547674245,0.00669421026793188,0.00254683424263286,0.000578488494768452,0.0011747968401938,0.00431646348727499,0.00299121864092549,0.00183567608556121,0.00174350721681475,0.0131574953199639,0.00274526101658256,0.000913516346757483,-0.00081213472661675,0.0058392921350468
Volatility of Investment,33.2699781481313,27.6749171304852,11.6041100344824,145.123870560898,37.1100602431235,37.5284826523547,11.5770683180676,196.61379956416,30.7242016039846,15.5674912437407,9.66137005259764,74.417818033455,79.505249551781,262.702649151712,15.2565227498063,1830.00664405319,39.1231358356268,25.9707201158612,15.4958691712115,178.596169849043
Unemployment,0.224652451880005,0.0280277044650258,0.150992655239705,0.28021062639125,0.343268277105659,0.0369140782197833,0.181432754677498,0.38714740808225,0.396965473840545,0.0288021491490916,0.32379475523375,0.45303040423575,0.401600613943177,0.0411535601169443,0.244004234212897,0.45451356969025,0.408704576988053,0.0356616469331618,0.24579790244015,0.47139892820775
Volatility of Unemployment,0.0711641688994565,0.0150302725696277,0.0471870798452565,0.114721183672282,0.0438094720663897,0.0133354265178647,0.0273472683510219,0.0978378365140399,0.0348367417494774,0.00708171527907582,0.0206179457816546,0.0612818542925887,0.0373039394598915,0.0289131524179922,0.0186795459506794,0.18281092597069,0.0390537213336504,0.0195084543630956,0.0227896625075093,0.143070726362742
Productivity Growth,0.00389491429175504,0.000216037806133343,0.00353707190538135,0.00448440432466801,0.00410626436840609,0.000168567640890909,0.00383015320060123,0.00466675692625945,0.00415148208598171,0.000169321458745503,0.0037959529664423,0.00461399327205485,0.00426253109306226,0.000202187908443198,0.0038805907553486,0.0048528524560499,0.00422135740819535,0.000190097008869305,0.003743580530924,0.00476146748796662
Volatility of Productivity Growth,0.00415704246575431,0.000409275516604292,0.00315390526791308,0.00492258609504862,0.00404204784169875,0.000398701733260053,0.00334347099638365,0.00499329998556878,0.00371477766912934,0.000301340855298091,0.00301627649662961,0.00433113226620105,0.00379389781274136,0.00041813222273892,0.00304633278567483,0.00495683405549503,0.00374919685507478,0.000468091889764526,0.00284188154183831,0.00479363768005206
Markup Growth,0.000138853553044114,1.24050512442621e-05,0.0001087053351723,0.000161675386456525,0.000183040699222129,1.74464544295765e-05,0.000157528504809975,0.000240983239592517,0.000205571233132368,2.36689307378725e-05,0.000157167083237975,0.000259093009822225,0.000214948053255831,2.30137450099976e-05,0.000177596740285644,0.00029890920824965,0.000226691606400026,1.81644789193179e-05,0.00017157305581924,0.0002668404383845
Volatility of Markup Growth,0.00366009856958554,0.000175515330213618,0.0032761725405624,0.00402357881684769,0.00376374614916676,0.00016050592141884,0.00328733569800265,0.004035407800774,0.00368817031383983,0.000193379174191607,0.00336716526532594,0.00422557186854329,0.00374778107971894,0.000184628093249125,0.00316679271749775,0.00408274466906996,0.00373727489987608,0.000211175705545316,0.0032989185351129,0.00424841439910868
Profit Rate,0.0320416327964095,0.0013218946196619,0.0291628016296,0.036095337307875,0.0204128598083267,0.00193674838730328,0.01722538765036,0.02504466303755,0.00898500182191605,0.00219547514310363,0.0033699047061724,0.01452515530382,0.00620182083870745,0.00292313771793914,0.00260356666758297,0.0178206183791445,0.00399097540431742,0.00313302899932406,-0.00589201718784558,0.0159706359027475
Capacity Utilization,0.71175815262356,0.0158169542619994,0.68278670657075,0.75217939817775,0.66627524437248,0.0182499925898308,0.645463334413,0.747109933297,0.62699064582417,0.014981039540016,0.598529986211,0.66354232084375,0.62008336809838,0.0246366591753544,0.595377914003,0.733402478963,0.613188287305465,0.0197946006554569,0.58798847868125,0.705667025404
