,-4,-3,-2,-1,0,1,2,3,4
Total Debt,0.0422159020899687,0.157650145648908,0.261959416990911,0.349031001641367,0.423339755278539,0.489191232593601,0.54321106226672,0.566920379766154,0.53834411658834
 (s.e.),0.0166767953342127,0.0170740718047921,0.0167266279979353,0.0158069747567486,0.0148375918552788,0.0135962112112651,0.0121371662220762,0.0110887603154906,0.0110624557095531
 (p-val.),0.18640575623831,5.72606011639789e-06,2.51563279308354e-14,5.50907383609539e-22,6.84980564767121e-28,3.53214747176793e-33,4.56890269933517e-38,5.54904482416544e-41,9.30074818348977e-40
Short Term Loans,-0.0831805749870052,-0.102428836814339,-0.120909809006252,-0.12292968634659,-0.0923869736213681,-0.0219396122966666,0.0759534105585555,0.176305005689294,0.251097475435285
 (s.e.),0.0131740834792017,0.0131376548763007,0.0179501550752775,0.0255839039874009,0.0336267064953888,0.0402286926025561,0.0443554913362357,0.0453634361133878,0.0433228813666131
 (p-val.),0.155430095387614,0.00240717604306027,4.33572772659195e-07,7.52173047336293e-09,1.48631103772063e-08,1.75898227238941e-09,6.90066669686847e-09,7.26144013957181e-08,1.23190174523509e-08
Long Term Loans,0.0511364014361998,0.170318839406969,0.278460816336555,0.367736743791225,0.440847205729663,0.501256325895534,0.546643725283099,0.560840441018604,0.524432990026835
 (s.e.),0.0169765160982804,0.017361062692684,0.0169243744861294,0.0157804221413146,0.0144872341065083,0.0129560074573176,0.0113597422141667,0.0104047479620093,0.0106494876319152
 (p-val.),0.132191523107849,1.25776320818348e-06,1.61969602862663e-15,2.79159037780891e-23,2.35823692904918e-29,9.37461406411893e-35,1.3789206299285e-39,4.86213468953584e-42,6.76196671544839e-40
Total Deposits,-0.381646491660823,-0.393655605476636,-0.354856460099739,-0.27002646947164,-0.1601242437458,-0.0535437897649503,0.0244872631466956,0.0661107863874111,0.0790152836932573
 (s.e.),0.0198192690325296,0.0202172937940342,0.0211712373210979,0.0230960167120878,0.0260040961076423,0.0288802690847897,0.0305260656673986,0.0306101825876386,0.0293363614144734
 (p-val.),4.72773723776693e-20,2.09479253724305e-20,3.16109868148343e-18,1.0644035638676e-12,3.01451539851082e-08,9.03831821390549e-09,1.58141506683936e-06,1.15036617370936e-05,1.52013345993351e-05
Firms Debt Rate,0.0864818326465996,0.147990467135323,0.200849059138161,0.251116861551075,0.306180431455052,0.36280311244887,0.406041577539607,0.411720094845456,0.361988112233371
 (s.e.),0.0169836057794364,0.0177986599903922,0.0176459445473043,0.016781050456631,0.0155506513982428,0.0140194048567541,0.0123479364809642,0.0111018826419921,0.0107593505601218
 (p-val.),0.0118191477356518,0.000179644739263336,1.73943927266268e-08,1.14652114998082e-13,3.87810514022418e-19,3.67286602377441e-25,1.83967901306139e-30,6.07284648095317e-33,3.06926015275911e-30
Class Debt Rate,-0.102933572658264,-0.175759972038985,-0.258862389202683,-0.338981630394791,-0.396551294360156,-0.410828175803793,-0.376183075371655,-0.301381829031641,-0.207469213786332
 (s.e.),0.0233711230716245,0.0222962265980901,0.0209322314931638,0.0190946509785932,0.0178443195911088,0.0201106569171895,0.0266567907293631,0.0345756553827296,0.0407524640264416
 (p-val.),0.000275991773743337,3.19967040357681e-06,2.60210450950011e-11,2.7661841296506e-18,8.05306031549426e-23,1.80418115082718e-21,6.808736642601e-15,4.16603345799611e-12,2.89410771127632e-13
Financial Sector Leverage,0.246482807899556,0.349124729156123,0.416470549745347,0.446460006221866,0.452930140600435,0.452715234682371,0.455170395969649,0.449279181736541,0.414024428672374
 (s.e.),0.018653715169748,0.0178052441437746,0.01647536566765,0.0157642747586088,0.0166073172961366,0.0177975275186521,0.0179126975512603,0.016937295847081,0.0157445100213781
 (p-val.),1.58813908703111e-15,7.5617870607214e-22,1.76681376165749e-25,5.22890986064703e-28,2.41585330633511e-27,5.31829366485473e-26,5.25954423289672e-26,9.05584172031705e-27,3.3440459827954e-26
Financial Sector Profits,-0.0946244072267505,-0.0286813054139128,0.0560203571019057,0.123240026713324,0.14395286291531,0.114765921209997,0.0648964778531507,0.0284850608915272,0.0204861528550406
 (s.e.),0.0110846696356278,0.0112200094005706,0.0110422070385567,0.0113738513059176,0.0119891712621533,0.0125763263383321,0.0127402238221392,0.0125277791819685,0.0120063939950763
 (p-val.),0.0442811584985093,0.996592325087086,0.841314850658478,1.01668147614901e-05,4.39375139289843e-07,0.000942287166820611,0.343891954039004,0.930961332658862,0.991239691575955
Financial Sector Default Rate,0.106826329904274,0.0503532609042588,-0.0295649237772868,-0.0946011023643234,-0.111795913840064,-0.0760470956611202,-0.0170653303647573,0.026474343232754,0.0347519079209211
 (s.e.),0.0108824378368524,0.010952838175936,0.0111838949869961,0.0125712363882869,0.0141248738093005,0.0147913052765505,0.0142644296231986,0.0131973594933633,0.0122019784298669
 (p-val.),0.0114364906805005,0.970035227223829,0.997200588331405,0.00494415389402263,0.000464050163747583,0.0337497449516284,0.62708901443542,0.860219670794356,0.935165754751976
Share of Ponzi Firms,-0.03854733228118,-0.0108610477943412,-0.00502744655272571,-0.0240936568877051,-0.0422590945654003,-0.0315823409044916,0.0111970381716318,0.0582843774730211,0.0774475778623655
 (s.e.),0.0100346413848811,0.0108297444975064,0.010808841522705,0.00976337512985248,0.00927943790582064,0.0094457034913693,0.00945800224998489,0.00949909384779635,0.00937325488252707
 (p-val.),0.999586212945964,0.99991319970088,0.999925819743105,0.999994291885981,0.999926375401955,0.999992693075706,0.9999998404991,0.985887424210374,0.663913020588895
Share of Speculative Firms,-0.118726396795818,-0.0906938851385129,-0.0652558136760602,-0.0380877276686909,0.00327455798573257,0.070784497770949,0.161973285356613,0.259288131264692,0.33591526973719
 (s.e.),0.0182834282329183,0.0178778050302782,0.0170677736899084,0.0162450367158878,0.0155030367517064,0.014616700297959,0.0136712921189156,0.0133320865113905,0.014044752628249
 (p-val.),0.00011998342842674,0.000595513900330634,0.00622773757778748,0.135503154219347,0.377797669965705,0.0580032573339331,2.93201533212678e-07,1.21740096617621e-17,3.32048119067924e-23
Share of Hedge Firms,0.122181297132692,0.091890002931125,0.0660981293963849,0.0407686454564029,0.00112348420396194,-0.0672957059143659,-0.162257978928772,-0.263679004132268,-0.341886385941377
 (s.e.),0.0182589596368542,0.0179547316738334,0.0172368974996832,0.0164377822487922,0.0156433289669687,0.0146871689747276,0.0136856955978479,0.0132596987948328,0.0139061686004609
 (p-val.),8.33449466511155e-05,0.000447756911074375,0.00591009271177777,0.10033773705783,0.364557767230474,0.0676248219338171,2.32454230850757e-07,3.75661634708478e-18,7.88775150027838e-24
