t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,164.0313278,123.1471025,4.663742915,36.16153586,8.102397345,13.7580416,5.655644254,672,26.59485502,3.75,45.22859811,97.27292388,0.9849877243,1.5,221.9013956,11.35639545,-0.005344036806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200209031,0.317390281,0.682609719,0.7572077343,0.06730446148,0.7507535552,0.02843202562,0.2204550578,0.03447904939,0.162132779,4.096778395
2,171.0101204,122.9819385,5.130117206,36.16153586,4.876488207,12.60798691,7.775382601,663.6,22.05861534,3.75,51.42187266,97.20649076,1.066060056,1.5,221.3619739,11.24290544,-0.0002790668262,-3.330669074e-16,-0.001341192735,0.1,3.929826092e-16,-0.3981425498,-0.08359145333,0.3748005094,-0.0125,-0.1705683178,0.08230796137,0.1369327107,-0.0006829558561,8.881784197e-16,-0.002430907192,0.05404381405,0.3459905011,0.6541664857,0.8219535309,0.07748925958,0.7192519415,0.03000315985,0.2114884119,0.04546738278,0.1290083902,3.881021832
3,165.8357812,123.5255446,7.981581737,36.71495883,10.67067655,12.55185107,2.066934896,662.3844528,20.60985734,3.693490199,49.12803572,94.62510442,1.09580345,1.52343459,206.5388566,11.85646356,-0.002967855053,2.220446049e-16,0.00442021027,0.55582834,0.0153041888,1.201518341,-0.002934958167,-0.7333054375,-0.001831746874,-0.06567764928,0.02790868257,-0.04400560106,-0.02655569939,0.01562305996,-0.06696325031,0.07189223705,0.3418260848,0.6586881212,0.8167437021,0.07416877924,0.7453766353,0.0481489338,0.2215450462,0.01246672849,0.1243262315,3.9969538
4,170.7688913,119.2261244,14.34956157,35.6567041,4.170817561,14.22342051,10.11954754,644.0959772,20.13337471,3.693322252,47.03630928,100.7483803,1.099326398,1.500126199,210.1826706,11.34926961,0.001630072387,-0.01391536385,-0.03479461011,0.7978350946,-0.02881936842,-0.6038034074,0.1345757229,4.469886275,-0.0276085427,-0.02190877195,0.003310317943,-0.04079450227,0.06515511069,-0.0152976327,0.01836117091,0.01786586498,0.3183952873,0.6833807864,0.8462152004,0.07302715512,0.6994866548,0.08417092518,0.2093903651,0.05927521715,0.118245363,3.783742867
5,173.0652322,120.034991,17.6633995,35.82167518,5.957847078,14.39132194,9.109166396,639.3514559,10.53858006,3.676355395,52.11037256,97.91205085,1.108082156,1.506923645,199.5739467,11.89751157,0.02055821974,-0.01461270582,0.00709713193,0.2436744124,0.004648745935,0.4663686348,0.01342095383,-0.07892030615,-0.007362582617,-0.4727570875,0.008341617345,0.1141525502,-0.02732108914,0.004532090426,-0.0494455617,0.05013203579,0.3478369486,0.6533183266,0.8239836432,0.08150739558,0.6968749136,0.102102577,0.2083111228,0.05265517341,0.0613142882,3.711511966
6,170.9899804,121.4292139,19.91367049,36.08404628,10.16169149,14.26830722,6.462773067,631.5717506,12.362029,3.64972904,45.2780248,102.050198,1.109124559,1.510831727,210.7703888,10.99230079,0.01515340795,-0.01920010824,0.01161513706,0.18241682,0.007417238398,0.948534718,0.008281340383,-0.2153533355,-0.01210321785,0.2018613831,0.003840950799,-0.1311130093,0.04642177825,0.00263046993,0.06333843128,0,0.3073275706,0.6974285475,0.8937269247,0.07169102284,0.7153619708,0.1170038315,0.2134660466,0.03796156129,0.07269198399,3.712531302
7,166.6406356,121.5337295,22.96129979,36.31788018,17.26678474,13.75560428,-1.007309182,642.3807431,17.75011871,3.62650773,40.51554717,103.2324779,1.109729462,1.509173609,212.7577929,11.09899413,0.01731563143,-0.0263284017,0.0008607119237,0.2235994031,0.006595192993,1.268778646,-0.007804133362,-1.259668284,0.01863533085,0.4862530402,0.004919526204,-0.08973070716,0.01587417865,-0.001023694941,0.01659619957,0,0.2828686631,0.7257264965,0.9062696758,0.06326910886,0.7350246503,0.1378362293,0.2201140084,-0.006060698254,0.1073854703,3.885108992
8,175.608866,121.6264333,26.87003405,37.08777669,6.34418101,14.43887199,10.12748333,645.4638489,12.86551133,3.632808638,45.16082474,106.2786725,1.099445227,1.497533184,212.3819255,11.1228072,0.01956909865,-0.01820117531,0.003368105895,0.2326689898,0.02139346456,-0.6054725606,0.07853485076,-2.983539251,0.007827665392,-0.2428952874,-0.004918358547,0.1490934873,0.034963405,-0.007609592651,0.009402052484,0,0.298724473,0.7080408199,0.8791136439,0.07045667202,0.6987444719,0.1539157088,0.2131275127,0.05767068347,0.07360293988,3.705249342
9,171.01621,122.3830223,28.46002407,37.04064642,11.75689342,14.24137224,4.647488025,661.4917294,11.90013696,3.639070371,39.91178405,107.3406212,1.090913172,1.500186178,216.2367184,11.22993812,0.004318805713,-0.01622408468,0.006601933934,0.08425345461,-0.0009858400005,1.639553327,-0.007174836601,-0.4359427301,0.02668894865,-0.003865280824,-0.005465634823,-0.1015857861,0.01259258217,0.001822823588,0.02212645987,0.003134289416,0.2728403526,0.7343989728,0.8733042785,0.06102431797,0.7191996205,0.1669912925,0.2184052002,0.02730289703,0.0697204899,3.875545937
10,174.2238482,121.6308567,29.16988238,36.99908936,10.02285264,14.31795843,6.688399013,702.4381192,15.3982129,3.644166648,38.39633598,111.0720789,1.095631298,1.50085637,228.7976813,11.2801076,0.01220583113,-0.01091052255,-0.003927980267,0.04376406043,-0.0004772446587,0.02470162354,0.01586479856,2.286669632,0.06571189656,0.3006783528,0.007418294989,-0.02274223643,0.04229421522,0.0007661694752,0.06739075435,0,0.2578515004,0.7522895589,0.9147825789,0.05529883524,0.7155688828,0.170937717,0.2181914645,0.03931241329,0.08927968482,4.041441988
