t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,164.0313278,123.1471025,4.663742915,36.16153586,8.102397345,13.7580416,5.655644254,672,26.59485502,3.75,45.22859811,97.27292388,0.9849877243,1.5,221.9013956,11.35639545,-0.005344036806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200209031,0.317390281,0.682609719,0.7572077343,0.06730446148,0.7507535552,0.02843202562,0.2204550578,0.03447904939,0.162132779,4.096778395
2,170.9858972,122.9819385,5.130117206,36.16153586,4.832604305,12.58057368,7.704085476,663.6,22.05657978,3.75,51.38945978,97.20033659,1.066046985,1.5,221.3395828,11.24176821,-0.0003151961216,-3.330669074e-16,-0.001341192735,0.1,-5.894739138e-16,-0.4035587123,-0.08558397697,0.3621941429,-0.0125,-0.1706448573,0.08229469167,0.1362160652,-0.0007462229064,-2.960594732e-16,-0.002531813003,0.05394811929,0.3458335143,0.6540094989,0.8218604313,0.07744041559,0.7191500613,0.02999890998,0.2114584551,0.04505684739,0.1289782133,3.880472095
3,165.722319,123.5211573,7.909868692,36.71480149,10.48491617,12.49053901,1.829894243,662.3816142,20.44798018,3.693474371,49.03181206,94.57123947,1.095491104,1.523428751,206.3431467,11.84522874,-0.003100956866,-9.992007222e-16,0.004384536051,0.5418495083,0.01529983782,1.159616285,-0.009315356774,-0.7624774221,-0.001836024424,-0.07301614992,0.027608711,-0.04645525233,-0.02704823069,0.01561916744,-0.06775306909,0.07101081747,0.3413118788,0.6581739152,0.8161461436,0.07402334087,0.7448402049,0.04772309085,0.2213925199,0.01103878674,0.1233151187,3.994202031
4,170.2272062,118.9407791,14.00364346,35.63151445,3.90262163,13.51205055,9.511197106,644.0924648,19.72059462,3.693302111,46.62406936,100.5609191,1.098072548,1.50012174,209.6030066,11.31796939,0.0008321024748,-0.01391680733,-0.03709521402,0.7647496958,-0.02950961719,-0.6323244041,0.08022045719,3.662562989,-0.02761255908,-0.04150399347,0.00230865779,-0.04926475147,0.06318643998,-0.01530166674,0.01555261792,0.01513103127,0.3166192136,0.6816047127,0.8451901126,0.0723870207,0.6978719596,0.08226442628,0.2087266777,0.05587341282,0.115481189,3.771725658
5,171.2573164,119.6750153,16.2746269,35.79643903,5.928305212,13.0400209,5.948452471,637.9181101,10.08484884,3.67622098,50.8787949,97.24819349,1.103214332,1.506856869,197.2969167,11.75486372,0.01716896425,-0.0146146858,0.006089971075,0.1522120697,0.004614687375,0.4715092725,-0.04208862843,-0.3951766434,-0.009586782543,-0.4949698496,0.004226593435,0.08418250818,-0.03320645111,0.004487225583,-0.05919337795,0.04234550989,0.3427455091,0.6554394321,0.8197156774,0.07975709813,0.6958531588,0.09501629196,0.207634895,0.03466216955,0.05848615335,3.707632334
6,167.9702935,120.723348,19.34827943,36.06071934,9.091938941,13.01140144,0.4646118637,627.3650381,11.5361,3.649017818,42.40466346,101.8088266,1.098134154,1.510720846,209.9831221,10.7743234,0.007686311966,-0.01924351487,0.008456766272,0.1584490202,0.007346327542,0.3449053061,-0.02645041088,-0.9275525677,-0.01655630674,0.1382068468,-0.006801638099,-0.1684784186,0.04424680749,0.0025424294,0.05976390473,0,0.2932860189,0.7008788234,0.8920386281,0.06743913365,0.7109932552,0.1151052136,0.2117449305,0.002745894049,0.0677960715,3.695395519
7,164.404629,120.4606022,24.10570129,36.30122665,14.31191289,12.98621348,-5.650138961,634.9825623,16.11271808,3.624333512,37.32694425,103.3086784,1.090350835,1.509124981,213.0663449,10.66990369,0.009562431664,-0.02643222502,-0.002892597672,0.1475900995,0.006545790976,0.1965987039,-0.03662934626,-6.64635301,0.01207571283,0.3017411408,-0.01054850456,-0.1363895833,0.008140076749,-0.001145304652,0.004058753464,0,0.264912816,0.7259090441,0.8982064865,0.05852161081,0.7213877845,0.1463894054,0.2159827565,-0.03403038876,0.09583051795,3.810255359
8,171.9739501,120.5046706,27.28038217,36.81261299,4.268675415,13.24892783,4.799330003,638.2949444,11.33082469,3.631807617,41.3484815,106.1796917,1.083746574,1.49724175,212.1166421,10.73036378,0.007891285184,-0.01831905056,-0.001071359189,0.04258658474,0.01408730183,-0.7376084372,-0.0001086772575,-23.19620018,-0.001517828721,-0.3219625033,-0.01125633832,0.07869315798,0.02575546204,-0.008029928158,-0.01207172941,0,0.280008985,0.7125322019,0.86949789,0.0646498928,0.6881649843,0.1577536677,0.2114714015,0.0276672815,0.06499639012,3.644647758
9,166.4847185,120.7352588,28.01210556,36.75375962,9.229751187,12.79069155,-3.716650681,648.632705,10.9868089,3.636487785,35.43133329,106.744161,1.075358251,1.498691855,214.3656836,10.77360937,-0.01049158879,-0.01633661927,0.00086928843,0.009819685759,-0.002009530305,0.6085363767,-0.04696644405,-1.645226261,0.0138931721,-0.08106596936,-0.01232700673,-0.1596647509,-0.0009634701684,0.0008718567368,0.001650458117,0,0.2474699587,0.7427063183,0.8581620424,0.05429784547,0.7122751109,0.1675185236,0.2166800523,-0.02223360014,0.06466979156,3.829830024
10,165.7398312,119.4903387,28.23979241,36.70410938,8.418485961,12.74030785,-2.874203462,669.7609111,12.58315221,3.639569916,32.70694368,108.2768554,1.076439133,1.499059122,219.6672299,10.86348377,-0.009912921154,-0.01158695445,-0.01049427484,-0.001437208564,-0.001702450761,-0.3310963526,-0.01869677399,-371.8615479,0.03257345165,0.1014343417,-0.002492803315,-0.08751547833,0.009957177137,-0.0002636072348,0.01788960513,0,0.230489311,0.7600437808,0.8768623181,0.04824650356,0.6985612219,0.1667683483,0.2139967931,-0.01726359829,0.07402038429,3.983704694
