t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,164.0313278,19.11800622,19.11800622,0,18.73064508,-0.0007733698859,-0.005344036806,1,0,0,0,0,0,0,0,0,0,0,0,0.04003272369,3.469446952e-17,1.020680609,1,0,0,0,0,0.01666666667,0.0025,0.00125,0.005,0.0075
2,171.0101204,117.5463455,39.65379082,77.89255473,37.32306439,0.7328927517,-0.0002790668262,1,5.148462563,1.074159321,0,0.9926203415,0.02356176989,0.01968529975,0.04559969848,0,0.01420294487,0.03398473862,0.03296603615,0.08277078325,-6.938893904e-17,3.150556625,0.3416164767,0,0,0.01666666667,0,0.9833333333,0.0025,0.00125,0.005,0.0075
3,165.8357812,213.6209369,53.6160931,160.0051313,62.1125789,1.423338756,-0.002967855053,1,0.8281708217,0.3521051077,1.075484496,0.6643886212,0.0525449304,0.06461921577,0.09121767096,0.0002953030011,0.04405869869,0.1030047459,0.06861573314,0.1117967949,6.938893904e-17,3.441899913,0.2572627404,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
4,170.7688913,259.3841248,62.95673953,196.4527439,100.5790164,1.898807252,0.001630072387,1,0.2237713205,0.1747103162,0.2412543962,0.6204286658,0.06138757839,0.1045123318,0.1185467008,0.0005102870472,0.08206209264,0.2007142277,0.08755543938,0.1334123103,-6.938893904e-17,3.442596455,0.2490820899,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
5,172.4371554,346.9216273,66.78330406,280.4400994,140.2028415,2.654977877,0.01960775547,1,0.3593979026,0.06079841247,0.4589714429,0.5968551248,0.09001481788,0.1589263721,0.1620939284,0.0006570675623,0.1392356155,0.2952348142,0.122340885,0.1406456974,6.938893904e-17,3.476772912,0.2016063162,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
6,170.3427824,448.0594523,73.10942582,375.3230409,173.5227447,3.334091034,0.01331841244,1,0.3009541218,0.09530319417,0.3517983571,0.3050558635,0.1288720872,0.2096797798,0.2053832497,0.0007299002514,0.1937703149,0.3476205683,0.160703905,0.1558311833,-6.938893904e-17,3.747787544,0.1752389783,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
7,168.1376499,501.0825819,81.93854023,419.6882144,204.8023581,3.931724072,0.01962056997,1,0.1804891928,0.1220789315,0.1932415803,0.2937137815,0.1406529625,0.2360527722,0.2471225949,0.0004345972503,0.2433858364,0.3661962089,0.1851221534,0.1766471554,6.938893904e-17,3.560322231,0.1692152265,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
8,177.0907535,569.6971337,80.03281134,490.5621506,236.2358175,4.734470568,0.02467249831,1,0.1493601205,0.003668989956,0.1812699428,0.2702553093,0.1655377579,0.2825696822,0.2720290668,0.0002196410801,0.3010364842,0.3575831747,0.2137995108,0.1710492719,-6.938893904e-17,3.546215458,0.1444480178,0,0,0.01666666667,0,0.9846153846,0.0025,0.00125,0.005,0.0075
9,171.8277405,636.595654,79.56872703,557.537857,256.3538592,5.434608199,0.01110676742,1,0.1460527921,-0.001400207298,0.1711770625,0.1964574374,0.1851228497,0.3105315075,0.4114696379,7.286088707e-05,0.332824154,0.3537616617,0.2754523732,0.1708363852,6.938893904e-17,3.552460688,0.1311890444,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
10,175.2719055,670.7960058,79.41874854,592.5999467,252.0960031,5.849468402,0.01934558015,1,0.07155023236,-0.001804525292,0.08249102602,0.1072762053,0.1927218498,0.286772617,0.3489236716,0,0.3535755182,0.3566199167,0.2523170276,0.170494126,-6.938893904e-17,3.717726451,0.1253546636,0,0,0.01538461538,0.01666666667,1,0.0025,0.00125,0.005,0.0075
11,175.2999451,692.4358121,80.01277963,614.1166126,249.1752683,6.225642588,0.0263311289,1,0.06740217147,0.02908944754,0.07742199198,0.1305001404,0.4760361299,0.2684647774,0.2981564361,0,0.3634031294,0.3574000858,0.3544223224,0.1754902116,6.938893904e-17,3.846779138,0.1252878813,0,0,0,0.03125,1,0.0025,0.00125,0.005,0.0075
12,175.3195151,714.1735424,87.3931072,633.7991635,251.8539591,6.580440635,0.01411431287,1,0.04868749036,0.09929171394,0.05340762988,0.1139042803,0.3760499748,0.2502114194,0.3765439343,0.002699951414,0.3574159248,0.3573537576,0.3396145426,0.1922233149,-6.938893904e-17,3.850114838,0.1303847535,0,0,0,0.03125,1,0.0025,0.00125,0.005,0.0075
13,171.5041827,702.0051685,90.60503557,622.1388305,267.5582003,6.647447446,0.01454267909,1,0.02119130794,0.04355964177,0.02466865676,0.1452899702,0.2890314237,0.2188411632,0.3341882339,0.0110846909,0.3582413375,0.3558914484,0.2776286035,0.2013706536,6.938893904e-17,3.420610063,0.1411625955,0,0,0,0.04411764706,1,0.0025,0.00125,0.005,0.0075
14,179.5779931,774.1740628,96.03103564,694.3115133,271.64137,7.23258704,0.01675057635,1,0.1330072712,0.09064121325,0.1512993478,0.1427749247,0.4385169212,0.1841960328,0.365223148,0.02467166876,0.3584084686,0.356586858,0.3828961353,0.2140834312,-6.938893904e-17,3.659870184,0.1365056062,0,0,0.01666666667,0.0447761194,0.9850746269,0.0025,0.00125,0.005,0.0075
15,172.0637916,805.7125807,97.62461955,722.6106706,273.3354738,7.875573224,0.0001397700482,1,0.1331783977,0.06263076005,0.1480554499,0.1075273471,0.4555971283,0.1538971365,0.3760682963,0.04498596872,0.3586890139,0.3574436467,0.3433210254,0.2184743706,6.938893904e-17,3.792551997,0.1326370268,0,0,0,0.078125,1,0.0025,0.00125,0.005,0.0075
16,178.2197452,800.8512123,104.2059746,717.0814979,286.5322858,7.921473282,0.007817942582,1,0.06599132155,0.1371517669,0.06232259028,0.09167373962,0.3587631851,0.13858942,0.322560467,0.0654853695,0.3590844236,0.3573934785,0.2739005064,0.233664821,-6.938893904e-17,3.582040811,0.1404435208,0.007084531624,4.872909179,0.01515151515,0.1044776119,1,0.0025,0.00125,0.005,0.0075
17,179.2609907,824.8809211,108.517748,737.1730724,299.8392016,8.206171805,0.02302386248,1,0.07446774576,0.08739627042,0.08227241172,0.1198369907,0.4886064437,0.1328357817,0.281689586,0.08550453246,0.3586024916,0.3576413115,0.3279920981,0.2442433671,4.501810557e-05,3.534456894,0.1418284015,0,0,0,0.1194029851,1,0.0025,0.00125,0.005,0.0075
18,176.5628118,849.9635549,111.7429129,762.5372653,319.0908488,8.12255441,0.0163675915,1,0.08190200292,0.05214599613,0.0903670997,0.1427727345,0.3886301031,0.1212822154,0.3579221931,0.1030211374,0.358749296,0.3574012641,0.3388773792,0.2515142875,4.501810557e-05,3.362472761,0.1523793378,0.0154401118,11.09773418,0,0.09375,1,0.0025,0.00125,0.005,0.007500090036
19,175.9478071,870.1041092,113.1352451,783.3129164,314.0279701,8.509306757,0.02868002758,1,0.08289306664,0.04486354484,0.09419854472,0.07546914529,0.3331116205,0.1059532154,0.342736999,0.1227877231,0.359012031,0.3581605533,0.2863115027,0.2552925408,0.0004055778469,3.554762045,0.1525570962,0.006971319004,4.53555333,0,0.1492537313,1,0.0025,0.00125,0.005,0.00750015856
20,182.0529587,893.7303481,116.527772,803.0206764,299.5617689,9.036344134,0.04537121515,1,0.1318445096,0.05309438647,0.1479968897,0.1037813817,0.5675191025,0.1422531402,0.361746727,0.1417833658,0.3593589451,0.3584783686,0.3986112478,0.2619740371,0.0003843782601,3.856235751,0.1465115097,0.004815096213,3.45376277,0.01639344262,0.1323529412,0.9846153846,0.0025,0.00125,0.005,0.007500761717
21,181.6478027,919.5499896,116.5165965,834.519681,307.5425447,9.385783498,0.04366961344,1,0.09891602477,0.02416583187,0.1155287094,0.07398224336,0.4552807231,0.1674243617,0.3564820392,0.1564862424,0.3580794123,0.3577921814,0.328189764,0.2602561814,0.0003795942406,3.659181249,0.1373090477,0.00740801146,6.034532022,0,0.1875,0.9850746269,0.0025,0.00125,0.005,0.007501449502
22,183.9049395,949.3734983,120.0034731,862.2379456,324.0119913,9.71050687,0.05471471652,1,0.05139743584,0.05061283067,0.05848615249,0.07117680446,0.3624261001,0.1708549797,0.2892021803,0.1648158504,0.3572120349,0.3573583157,0.2742609461,0.2673345254,0.0003747675589,3.70251263,0.1345049499,0.006314355925,5.307339148,0.01449275362,0.1230769231,1,0.0025,0.00125,0.005,0.007502058898
23,182.6785625,983.7963276,121.5546166,899.6312255,339.281223,10.0970282,0.07102541046,1,0.05390858337,0.03624258417,0.06007853577,0.09815235622,0.5682138796,0.170522078,0.3587738363,0.1723049081,0.3572191776,0.3571438628,0.362961818,0.2691735487,0.0003700002369,3.760810973,0.1398871043,0.005429194927,4.089634577,0,0.1690140845,0.9848484848,0.0025,0.00125,0.005,0.007502597761
24,187.9734872,1021.214138,122.8489496,930.5191626,362.9925055,10.28745149,0.05901178277,1,0.1146741267,0.05543115803,0.1279757276,0.07306852462,0.8194742292,0.1801835025,0.4284026851,0.1794242108,0.357721454,0.3572191701,0.4680375117,0.2694944495,0.0003652923396,3.780312605,0.1390404094,0.007467283314,6.379163289,0,0.231884058,0.9852941176,0.0025,0.00125,0.005,0.007503073262
25,184.254038,1023.305755,120.2342002,933.0159661,367.5922363,10.67113302,0.06713352308,1,0.04021631685,0.03902220358,0.04399216613,0.1144985726,0.6890584507,0.1909341763,0.5552760358,0.1831539409,0.3576817099,0.3574106156,0.5186669839,0.2610079423,0.0003606431186,3.741133745,0.1388340948,0.005613280347,4.955887982,0,0.2173913043,0.9714285714,0.0025,0.00125,0.005,0.007503491857
26,191.2437873,1089.618188,121.654724,997.9027316,380.8556816,11.23877028,0.06992185501,1,0.1293532516,0.07101607061,0.1502169533,0.09317731061,0.6724316226,0.197515975,0.4676792223,0.183669145,0.3578348719,0.3570594924,0.4750149763,0.2607529808,0.0003560518329,3.897694932,0.1334489616,0.008169186056,6.987151917,0.01538461538,0.2112676056,0.9710144928,0.0025,0.00125,0.005,0.007503859351
27,188.7620551,1115.459287,123.0241398,1021.493171,383.1673164,11.64699723,0.05903824131,1,0.1083504925,0.05049537374,0.1233029668,0.08951651216,0.7398025724,0.1838749285,0.4721170759,0.181069709,0.3570512824,0.3567331082,0.4767869976,0.2615081297,0.0003515177549,3.903944807,0.1217585422,0.02018228988,19.26193231,0,0.2222222222,0.9594594595,0.0025,0.00125,0.005,0.007504180971
28,196.4639336,1111.386856,129.9780555,1017.368314,385.8492121,11.62575586,0.05698529302,1,0.06711581748,0.09599263473,0.06803077954,0.05890590314,0.729515126,0.2065232797,0.4348757053,0.1770670916,0.3570017152,0.3567014224,0.5097050586,0.2695317199,0.0004200581873,3.876116163,0.1281840531,0.005407062294,4.848839896,0.01388888889,0.2222222222,0.9393939394,0.0025,0.00125,0.005,0.007504461418
29,197.3647828,1116.225518,129.3977204,1022.373598,409.7821524,11.58320576,0.05702078489,1,0.04979122238,0.03891224036,0.057214332,0.07863514149,0.6820312892,0.1898937085,0.5190006768,0.1765733865,0.3572147454,0.3569856589,0.4254796499,0.268220958,0.0004189175015,3.587197154,0.1298849449,0,0,0,0.2253521127,0.9545454545,0.0025,0.00125,0.005,0.00750470492
30,198.1884211,1112.193711,127.4676871,1015.740969,436.4238386,11.62973237,0.05206088746,1,0.04343393776,0.01880699185,0.04822767955,0.07730997239,0.6710601207,0.1664840076,0.5290307939,0.1796188729,0.3577669791,0.3570909842,0.4160340293,0.2642248719,0.0004135448218,3.44445475,0.1273106033,0.02052749797,19.08395442,0,0.1971830986,0.9701492537,0.0025,0.00125,0.005,0.007504915284
31,192.1034561,1181.937374,130.6374609,1088.113014,431.5426125,11.73825104,0.0481102849,1,0.08682603003,0.04333571204,0.09515692674,0.0893925643,0.6127764751,0.1571993084,0.4481325783,0.1807555406,0.3578318171,0.3577017518,0.4438330543,0.2706718043,0.000563244414,3.58730764,0.1318875181,0.02121151664,19.2070168,0,0.2054794521,0.9552238806,0.0025,0.00125,0.005,0.00750502254
32,202.686246,1245.716924,134.0092218,1144.995757,441.561453,12.15644141,0.06558411883,1,0.1376393602,0.06731865259,0.1500744357,0.09968264022,0.6830635497,0.1819402781,0.488340427,0.184965797,0.3583523529,0.3579670811,0.4745785064,0.2717706243,0.0007896036054,3.575766992,0.1313585669,0.01149703659,13.16405811,0.01515151515,0.25,0.9333333333,0.0025,0.00125,0.005,0.007505121403
33,200.4062967,1332.666712,134.5488217,1231.670847,436.0535969,12.62473621,0.05317097063,1,0.096384511,0.09425704773,0.1048265233,0.0729200827,0.8264449498,0.2287942806,0.4043300181,0.1863134015,0.3578004802,0.35757359,0.5011107393,0.2639649679,0.0007833721778,3.791248705,0.1209824365,0.01793104884,17.26088861,0,0.2028985507,0.9411764706,0.0025,0.00125,0.005,0.007505390095
34,200.0995817,1309.637125,137.5760073,1203.691264,443.3264506,12.45832848,0.05064018427,1,0.04534410524,0.09556330997,0.05072580258,0.05356204751,0.8888589671,0.1960649517,0.5096927083,0.1830026341,0.3576282691,0.3576359081,0.6180911686,0.2688362419,0.0007712120551,3.802335254,0.1235086506,0.01960647737,17.4606105,0,0.2297297297,0.9571428571,0.0025,0.00125,0.005,0.007505876285
35,197.8891984,1291.099537,139.5300926,1188.289306,442.5525879,13.35590781,0.05634161697,1,0.08611194556,0.04725254296,0.09713418708,0.05409075806,0.6295695742,0.2173149107,0.423557349,0.181764424,0.358604958,0.3580089042,0.4599530374,0.2747258265,0.00141091202,3.765339106,0.1272337441,0.01076322377,10.71622516,0.01282051282,0.3333333333,0.9275362319,0.0025,0.00125,0.005,0.007506302493
36,199.2345149,1234.610938,134.9147384,1131.329099,434.6461686,12.62625741,0.04605565046,1,0.04634152301,0.05816440992,0.05122648433,0.03710310887,0.6091398816,0.1935721479,0.4966942306,0.1797357781,0.3582438978,0.357679236,0.4547039856,0.2738510661,0.002069737581,3.793492161,0.1266772517,0.01737784321,18.36177496,0,0.3098591549,0.9444444444,0.0025,0.00125,0.005,0.007508517013
37,197.62498,1161.684837,134.8095301,1060.728673,429.6407932,12.30406464,0.0413906875,1,0.01850714561,0.05220367311,0.01980856266,0.07512714859,0.671007529,0.196084396,0.5609964746,0.1877329242,0.3587818569,0.3585104363,0.4629772423,0.2747674045,0.002049716839,3.6683995,0.1307300977,0.01305519334,12.21518686,0,0.3205128205,0.972972973,0.0025,0.00125,0.005,0.007511784717
38,200.9969845,1175.275949,132.5300881,1077.860255,426.3679132,12.38492561,0.04360116893,1,0.08865686397,0.03976802871,0.1014093751,0.07856621929,0.7430681395,0.2212813406,0.5318761594,0.1935183441,0.3601738915,0.3594729157,0.454199726,0.271393755,0.002025601405,3.893237285,0.1238479543,0.0236650675,22.35544849,0.01515151515,0.2987012987,0.92,0.0025,0.00125,0.005,0.007514681492
39,195.4103975,1221.260907,137.9789906,1125.381389,444.3244188,12.85040365,0.04226239748,1,0.1073220522,0.04111445675,0.1171251367,0.04680314134,0.535010074,0.228135274,0.4918325731,0.1953528311,0.3591277633,0.3590214736,0.3917741204,0.2764215702,0.002001735508,3.971010417,0.1254024084,0.03182124144,32.9662091,0,0.3289473684,0.9583333333,0.0025,0.00125,0.005,0.007517240609
40,201.1697251,1205.432859,146.1186718,1103.542929,445.8754843,12.17542469,0.03683629454,1,0.06900522168,0.06396950962,0.07419978668,0.05488524748,0.577117229,0.2180420513,0.395835078,0.1960435509,0.3596410565,0.3596759079,0.4341682288,0.291251474,0.002212737756,3.983121005,0.1277768597,0.01560489254,15.20062924,0,0.28,0.9545454545,0.0025,0.00125,0.005,0.007519400537
41,198.0371005,1229.550573,151.6480147,1127.639358,462.7096311,12.54955351,0.04528995521,1,0.1407514831,0.05054845808,0.1541973811,0.06899071179,0.504237928,0.2171617443,0.380908581,0.2039475389,0.3602832945,0.3597935031,0.3726038448,0.2950800333,0.001904824491,3.998284743,0.1298119845,0.01758956797,17.32218347,0,0.3164556962,0.96,0.0025,0.00125,0.005,0.007521214609
42,198.8681549,1189.279142,158.0494337,1082.429924,467.6377709,12.51709253,0.03728085887,1,0.1075398377,0.050851769,0.1224361064,0.08242810333,0.5715049074,0.2031620884,0.3336466858,0.2136286229,0.3599931864,0.3598777712,0.3895736106,0.303728996,0.001881579048,3.74304742,0.1363318962,0.01742982785,16.35541756,0,0.3098591549,0.9487179487,0.0025,0.00125,0.005,0.007522715208
43,197.1376248,1280.678885,164.9053742,1187.56512,468.7645835,12.93726485,0.04080357912,1,0.1520720907,0.04337845649,0.1642770722,0.07105570035,0.7612680993,0.1907423306,0.4845537425,0.2286452318,0.3602976364,0.3601896966,0.4692632362,0.3111613447,0.001858531087,3.743523278,0.1449245106,0.009332791738,9.174926962,0,0.2432432432,0.9452054795,0.0025,0.00125,0.005,0.007523614782
44,201.1545498,1264.326894,169.2448037,1170.612886,479.6579009,13.13348817,0.04388619199,1,0.1122040732,0.06285274162,0.1225519933,0.06046733973,0.8969088872,0.2230814318,0.4215316636,0.2453339318,0.3603012718,0.3597801609,0.5397812642,0.3255268916,0.00183576067,3.947440524,0.1459222814,0.02285576028,22.2592114,0.01515151515,0.2898550725,0.9428571429,0.0025,0.00125,0.005,0.007524104044
45,201.3675524,1292.713714,175.145007,1188.78108,477.209852,13.4809366,0.04047241192,1,0.08363428964,0.1090405466,0.09349184374,0.07526253115,0.7852534614,0.2563038157,0.4082034513,0.2623057014,0.358966451,0.3589608173,0.5002404905,0.3406536624,0.001813264128,4.290887497,0.1459915323,0.01551283086,15.35423986,0.01315789474,0.32,0.9411764706,0.0025,0.00125,0.005,0.007524506865
46,205.2359347,1279.290411,179.8604808,1178.373722,478.6455037,13.55648407,0.04826826096,1,0.07658745914,0.05956080682,0.08607513907,0.07659306276,0.6053056331,0.2347752633,0.4153413196,0.2837282969,0.3588082946,0.3589919556,0.4177570939,0.3584635666,0.001791037469,4.121443172,0.1505001912,0.01925741723,19.73101654,0.0125,0.3815789474,0.9305555556,0.0025,0.00125,0.005,0.007524834193
47,206.1326149,1332.105652,183.6044381,1235.899971,469.8559916,13.79644179,0.06277672579,1,0.164287781,0.06155894481,0.1778701823,0.06630926924,0.7785549833,0.2534014004,0.487034078,0.3105431001,0.358787188,0.3589772441,0.5654471835,0.3616250831,0.001769076854,4.315742503,0.1567084538,0.0169365944,16.59048336,0.0125,0.3333333333,0.904109589,0.0025,0.00125,0.005,0.007525094019
48,212.7400866,1351.550859,181.4614792,1253.692385,477.7694854,13.97465925,0.04354974259,1,0.06449633394,0.06078307746,0.06995143808,0.06571944162,1.03995978,0.2415115051,0.4590260245,0.3352191695,0.3591662394,0.3586872717,0.5850920186,0.3572057337,0.00174737859,4.141188308,0.1578424621,0.01973697463,19.12118851,0.0125,0.3205128205,0.9130434783,0.0025,0.00125,0.005,0.007525293517
49,210.6685679,1326.662134,181.577815,1226.972508,491.1498008,13.48841422,0.04796503496,1,0.0775536926,0.03150909451,0.09117349172,0.07290860196,0.6332365889,0.2810695688,0.4314949539,0.3507211971,0.3587598284,0.3584992937,0.4655355219,0.3567969032,0.00172593911,3.969338679,0.1617540594,0.01207819244,11.87069515,0.0125,0.3417721519,0.9066666667,0.0025,0.00125,0.005,0.007525439137
50,216.2841027,1335.311417,181.2380337,1234.372889,487.5323955,13.89310902,0.05341372484,1,0.1321161418,0.1047407768,0.1514935582,0.06179996351,0.7244490061,0.2685566666,0.4392922801,0.3593335554,0.3584454002,0.3580020497,0.4442463158,0.3553248198,0.00170475497,4.012586916,0.1587574531,0.01134667217,12.82971636,0.01449275362,0.3376623377,0.9102564103,0.0025,0.00125,0.005,0.007525536681
51,216.1586416,1412.601462,183.260643,1292.47854,506.1373146,14.64720384,0.05155575501,1,0.2104350584,0.1011723685,0.2360618911,0.09721306765,0.5349284605,0.2808944971,0.4625045584,0.358199803,0.3582669819,0.357984614,0.4017535839,0.356266037,0.001683822829,4.896317525,0.1590879249,0.01112042266,11.75533888,0.01315789474,0.3703703704,0.92,0.0025,0.00125,0.005,0.007525773127
52,216.0814005,1489.254886,182.4253594,1381.538917,519.4611288,15.28661626,0.04084493845,1,0.1418958148,0.07951228073,0.1522889627,0.04433498283,0.8290756669,0.2695021241,0.4575428751,0.3559367889,0.3583512575,0.358000953,0.5229445675,0.3587668334,0.001663139447,4.875525868,0.1601367072,0.01987115696,21.19978697,0,0.4189189189,0.9285714286,0.0025,0.00125,0.005,0.007526542712
53,215.3463969,1560.282756,185.7228031,1452.01831,540.059886,16.08903958,0.0409125863,1,0.06342143688,0.1228760227,0.066676954,0.05174172117,0.8987452563,0.2538384888,0.4367271676,0.3565432467,0.3585917607,0.3581052229,0.5805062236,0.3571750799,0.001969094837,5.111994164,0.1626172259,0.01742646219,19.81182864,0,0.4230769231,0.8961038961,0.0025,0.00125,0.005,0.007527504585
54,207.4516335,1499.967773,182.1764603,1374.396291,551.2869093,15.53138365,0.03782179196,1,0.06556346488,0.1598588977,0.07100743133,0.08123005987,1.064957853,0.240182505,0.5064412034,0.3566448114,0.3591363026,0.3589674698,0.6300636464,0.3576362497,0.001947305101,4.845936348,0.1612920116,0.01873831741,18.91451277,0.01351351351,0.4054054054,0.8860759494,0.0025,0.00125,0.005,0.007528670465
55,207.0668119,1462.673221,182.2009577,1337.344837,563.1624281,15.22105915,0.04309737875,1,0.044322058,0.04063380794,0.0475259851,0.06308051605,0.7299994571,0.212970226,0.4641008812,0.357552947,0.3598084364,0.3595107981,0.4865686854,0.3613609398,0.001923751975,4.661686902,0.1612429848,0.04336644281,45.11050986,0.0243902439,0.3417721519,0.8974358974,0.0025,0.00125,0.005,0.007529674404
56,213.5723941,1468.587333,189.1742575,1348.777682,585.0436756,15.34837372,0.05513978416,1,0.09153219999,0.08951790638,0.1032511721,0.05697149664,0.9544832485,0.2718574665,0.3827569996,0.358218895,0.359406217,0.358990626,0.5477160049,0.3569853238,0.001934185559,4.628036086,0.1557357705,0.007304328015,8.597803875,0.03448275862,0.4074074074,0.8714285714,0.0025,0.00125,0.005,0.007529703893
57,212.9271986,1511.568301,191.5594104,1397.656498,582.9621288,15.75831536,0.05361699333,1,0.1232588655,0.06371747552,0.1371447253,0.06997868386,0.7267384019,0.2567076705,0.4930405576,0.3575999305,0.358983072,0.3586859913,0.454156698,0.359122361,0.001915463498,4.812622993,0.1496791588,0.02040651818,24.07476068,0.02298850575,0.4594594595,0.8918918919,0.0025,0.00125,0.005,0.00753058308
58,210.7706219,1469.975356,184.2172564,1356.076196,578.8410998,15.38200685,0.05641785993,1,0.05775145552,0.07223303085,0.06168513792,0.06231608026,0.7146037269,0.286522706,0.5982697792,0.3577598933,0.3587677763,0.3590683757,0.5175981344,0.3610896314,0.00189071128,4.816770667,0.1467851917,0.01381673449,15.96250325,0.02298850575,0.4054054054,0.8857142857,0.0025,0.00125,0.005,0.007531330866
59,213.391351,1456.477417,185.6867059,1341.992515,576.7074723,15.29857359,0.05945700927,1,0.08489591659,0.07098596914,0.09577522214,0.07306321084,0.6889922191,0.3370109817,0.6212573658,0.3579409646,0.3592214486,0.3590932053,0.4789873458,0.3579522929,0.001866234064,4.7699835,0.147525823,0.0162706131,18.48135794,0.0125,0.4109589041,0.9,0.0025,0.00125,0.005,0.007531954645
60,220.6176841,1410.597598,187.4090221,1303.353204,586.9763395,14.81268128,0.05466897003,1,0.05519602143,0.08519043597,0.06234638662,0.0754328689,0.7845101956,0.316748565,0.6143353625,0.3571164139,0.3591338911,0.3590190474,0.628081176,0.3563270309,0.001789073468,4.557343252,0.149237492,0.01842788062,21.33761787,0.0125,0.4305555556,0.9054054054,0.0025,0.00125,0.005,0.007532412457
