t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00650658445572198,0,0,0,0.0118032264968772,0.00734792884153307,0.0191511002076715,0,0.000546770836797295,0,0.00870641358170704,0.0016530691739603,2.07196349389117e-06,0,0.00601447132663349,0.000305463969906938,9.70467998821917e-06,0,0,0,2.23717800483346e-16,0.00145675726609961,0.000534082350573279,0.00338619247220551,0,2.05592479297532e-05,2.10348028380575e-06,0.000192497956226933,1.69941447851516e-05,2.52440108744927e-16,2.71042819272271e-05,2.57045440302169e-05,4.21699229960204e-05,4.21699229960019e-05,2.50081365504577e-05,1.31199702306986e-05,2.73669090934549e-05,1.14159404896867e-06,8.04694770575559e-06,0.00011027745564323,8.10607429062434e-06,0.00014766968831982
3,0.0224235424266494,0.0011122404766475,0.0192602176961612,2.63448659980684e-05,0.0390935508301921,0.0137819929688858,0.0523851796130991,0.000475303600143473,0.0327572412745029,2.65031511603217e-06,0.0267612296440353,0.0126251230472693,7.6383992553549e-05,9.57288607442215e-07,0.0458030075390031,0.00262917752424703,2.92435193090524e-05,3.26807455924234e-16,9.04393532999408e-06,0.00375434263818148,7.28541813409918e-07,0.00898668480645514,0.00130183872319363,0.00675971559922704,7.16246051858291e-07,0.0014885156802521,7.1857634814336e-05,0.00054393282449097,0.000118140478849552,6.38196910409203e-07,0.000189071777092027,0.00020653429431122,0.000142622070067487,0.000142622070067486,0.000129865878814846,4.041730284712e-05,0.000104752580873958,0.000112739663612659,3.0059612903277e-05,0.000315119229123536,0.000206539876509772,0.000542313685484396
4,0.146215411864743,0.0527665013267479,0.0730507321654653,0.00541174548148208,0.241659349056451,0.148777590786503,0.310390469801205,0.000786280733554255,0.115319086065303,4.50860258132378e-06,0.112978242907547,0.0356273161710732,0.000250787207492989,1.26383677003047e-06,0.112034980504911,0.00603215894857257,0.000216696167264011,2.9106344904927e-07,0.000427586546686827,0.00764302570800875,0.000147908456014905,0.0230975112668208,0.011872400343044,0.204946332935884,1.04473500723893e-06,0.00565334529004897,0.000197191442076631,0.00243368350824933,0.000358431864326858,1.01152089366343e-06,0.000523692145783062,0.000533239384502817,0.000506089181398087,0.000506089181398089,0.000326462770484025,0.000175400058897772,0.000396508952178269,0.000410483805664458,0.000176939024796709,0.00182856392251762,0.000772110346139129,0.00326174314954259
5,0.470349834036253,0.0785286562337297,0.620994270284581,0.00548915787135445,0.423338178397686,0.199368015033861,0.527310097305474,0.572248771618111,0.0248778830287761,3.43978506354323e-05,0.159926331349632,0.277394033275312,0.00209841230602211,1.65666234006211e-05,0.944107496032224,0.0472644258517281,0.000828177324902381,3.34074114694525e-07,0.00025211764000744,0.0444517422592906,9.8939614676719e-06,0.0939333752334752,0.0114363262148473,0.0693195059882718,0.000888388850069936,0.0026966886114321,0.00191701760480093,0.00401656215419848,0.00263524762509038,1.09045727518043e-05,0.00432130869376609,0.00303823075330969,0.000575164273366186,0.000575164273366172,0.00214940102103159,0.000201289592146756,0.00174931179887362,0.00331833947334798,0.000573432363646417,0.00302145006714689,0.00021930353658272,0.00762632595608383
6,0.847759539467571,0.157709697328113,0.920376692385429,0.00565392848278971,0.849657481447984,0.226562877606986,0.966942673922378,1.28233229577087,0.254311466073202,0.000146899710510176,0.352734352676474,0.391910232364046,0.00269294294616961,4.10391587016266e-05,1.31361861823605,0.0563566528574143,0.00198451927201609,9.3643282620754e-06,0.000907179509275186,0.0326638059666528,4.00844741065847e-05,0.111291095739994,0.00967781717565062,0.145321289646458,0.00161956638929124,0.0251574762094695,0.00167755950375457,0.00565608150399989,0.0025017560298276,2.95126209580593e-05,0.00405646792044318,0,0.00104864084095328,0.00104864084095328,0.00338409219721496,0.000495702622076374,0.00290667066857511,0.00476856125017159,0.00105826188465707,0.00567974969941874,0.00151744256801929,0.0153707792955889
7,0.937220502609507,0.284737686461605,0.929743486753658,0.00633708620042427,0.953319502224629,0.186138126236962,1.01362830822834,1.82881291600875,0.186119234693128,0.000311735300622388,0.472187402357445,0.390144227421053,0.00255620296116721,7.16925816447605e-05,1.27677593628296,0.048611786281125,0.00314252785953366,2.12311510236934e-05,0.00129270714838172,0.0397724199263818,8.15587549365872e-05,0.190772994135695,0.0119785706880881,0.467349668103397,0.00191745330663689,0.0321188072515464,0.0025413243545767,0.00743522837065413,0.00300028521202598,5.53928282212673e-05,0.00480891475923679,0,0.00194277129192731,0.00194277129192731,0.00467142393249153,0.000625177790626096,0.00314003371782895,0.00486071514049245,0.00122041989623943,0.00617623155264501,0.00155689756810707,0.0150871664652276
8,1.34431588977336,0.400194125594271,1.35074543996607,0.259656233252154,1.19707688005205,0.298841210278849,1.40189386967332,1.83411936450442,0.149879534340582,0.000193054064930163,0.384081491264734,0.844088650619803,0.00337117503524066,6.3947205367082e-05,1.92901592535981,0.0723731589967081,0.0047374605449392,3.15603279208182e-05,0.00140721024273375,0.0449543264534482,0.00709354332230611,0.0754751679204963,0.0167221471499339,0.614383819454152,0.00193040101614904,0.0111805058330762,0.00287250311951242,0.00969234405183471,0.00548362070198865,7.46742509354763e-05,0.00656486959835756,0,0.00114188517143366,0.00114188517143366,0.0030328971354058,0.000493479973192226,0.00363668132606159,0.00677047590692077,0.000967654806427629,0.00799833901242894,0.00120368123526411,0.0210412251683903
9,1.61548147843197,0.597351725493775,1.59555338583703,0.259207828568557,2.20181605317878,0.335250277652984,2.43376546361845,2.27625178949778,0.183771146298248,0.000721843517515171,0.604950015345063,0.854191037502487,0.00375339081910258,0.000270442639815299,2.21612722891152,0.0883555215115069,0.00550135113715602,2.41177650105842e-05,0.00204037284327572,0.0269369072022744,0.000170511017443003,0.202011309856323,0.0105088349677446,0.793026501330951,0.00265628509151711,0.0185824835835293,0.00207727755342307,0.0124518592312263,0.00452352068987851,0.000197962673167652,0.00693093100181986,0,0.00216075959505917,0.00216075959505916,0.00559200978094638,0.000802900833902344,0.00524935269543477,0.00786414642025453,0.00205400358202721,0.0146510650381322,0.00164214979417751,0.0285915314382946
10,2.49453715784057,0.730933745530866,1.79062895926991,0.262730132820282,1.87930809879425,0.368068500607471,2.15296558169327,11.5816115642025,0.606371522711394,0.00105285469695682,0.855047104100402,1.38119057181269,0.00418405868769389,0.000306445992236957,3.70955307739889,0.116690516682536,0.00691779046658536,0.000146883998534293,0.00211921849213166,0.0249958966943964,0.00025264782973276,0.087496654925991,0.0108400136761541,4.99979181415867,0.0175893345829299,0.045890200347934,0.00230180326135467,0.0197814836836917,0.0090369818198057,0.000266960433054968,0.0137671138534022,0,0.00327043348579744,0.00327043348579744,0.0117248607690692,0.00105102180053052,0.00776848726943735,0.00889547249597763,0.00259077163583124,0.0126875978461465,0.00373459028494437,0.0464123270141531
