t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00650658445572198,0.394700088485902,0,0.394700114742482,0.00358784193337886,0.00322936459612692,9.70467998821917e-06,0,0.0206454644305721,0,0,0.00019154927267475,1.06086686542825e-05,0.00374505515071227,7.18616957571559e-06,0,0,0,6.28694008357689e-05,1.11942107535116e-06,0,0.0108790072804602,0.00114371237803323,0,0,0,0,0,0,0,0,0
3,0.0224235424266494,1.11526691095608,0.0060376318060179,1.11298220357421,5.74867888947749,0.00908813089934609,2.92435193090524e-05,0,0.00924362187042054,0.000152258634446372,0.0145163355424661,0.154091114245465,4.47990850127383e-05,0.0103049136699991,8.58387713734435e-05,0,0,0,0.000276477953687308,1.52619157918031e-05,0,0.257672211626582,0.00120324768754534,0,0,0,0,0,0,0,0,0
4,0.146215411864743,2.51492495001426,0.0254946252877888,2.5113137603985,9.89215854651693,0.0205798252617713,0.000216696167264011,0,0.0105436107398575,0.000538983770876246,0.0139600386826144,0.117101967615808,0.000748116879838209,0.0153980604075269,0.00322516321263337,1.11862137689342e-08,8.88326845238442e-06,4.08613393132888e-06,0.00144538303663338,5.83856133443614e-05,0,0.361130748593934,0.00179213619102741,0,0,0,0,0,0,0,0,0
5,0.470349834036253,10.1586904795486,0.102240106572831,10.1748177399294,12.6229705640673,0.0312571423195223,0.000828177324902381,0,0.0335230135055525,0.00151829221953139,0.0426751635987487,0.0690399448503498,0.00635305450107995,0.0217065324778655,0.00473660911604237,2.71609337798983e-08,4.28172953846931e-05,1.69154806529465e-06,0.00392263215589435,0.000232000332164972,0,0.343110615233605,0.00457546266009161,0,0,0,0,0,0,0,0,0
6,0.847759539467571,6.3588387267705,0.336310485030693,6.36857620854276,13.6785609262583,0.0304863653768739,0.00198451927201609,0,0.0337585469313274,0.00421597864290575,0.0413412413025024,0.0555417411636666,0.0039887264655835,0.0251877496734111,0.00575232244888533,7.66852975082563e-08,0.000209080624374898,1.209910542137e-05,0.0034942493534134,0.000855947809534804,0,0.295248139821044,0.00223851404887339,0,0,0,0,0,0,0,0,0
7,0.937220502609507,4.31596307496688,0.718161844768947,4.30629809462806,18.1786761448947,0.0354357607234324,0.00314252785953366,0,0.0143942017795158,0.00570682898499245,0.0171999780034587,0.0595843562139773,0.00157225129812674,0.030174360227967,0.0060687187996891,7.66852945218823e-08,0.000802867748560561,6.32703718698937e-05,0.00308748651185083,0.00188637877657229,0,0.318450367791536,0.00178075248747757,0,0,0,0,0,0,0,0,0
8,1.34431588977336,6.65629691573992,0.406888964410468,6.65159195855597,20.6726393065823,0.0604498706965032,0.0047374605449392,0,0.0090263954507923,0.013856243267941,0.0106937196717312,0.0479255565863725,0.00257687057672502,0.0315946878747637,0.00700644767644974,8.03865678538863e-08,0.00224444334174636,0.000130991237614338,0.00362330010952613,0.000448612055985183,0,0.329774687549435,0.00161188453893631,0,0,0.000281541806807825,0,0.000281541799880533,0,0,0,0
9,1.61548147843197,9.31130477722823,0.289694770939034,9.34852462071694,21.7432672961005,0.085974232059164,0.00550135113715602,0,0.011988323513374,0.00202782525059095,0.0137958287224858,0.0514035195133755,0.00315812914070504,0.0334988553341041,0.0409482765441182,7.06269456043381e-08,0.00187565436435977,0.000180645289901267,0.0164543366230002,0.000269083928971644,0,0.30774263935492,0.0017795357909809,0,0,0,0,0,0,0,0,0
10,2.49453715784057,12.8946585576348,0.442026902517192,12.8409722708129,19.0796924274862,0.120299499988572,0.00691779046658536,0,0.0150597389880652,0.0033052176519868,0.0170932125607764,0.0369500252186573,0.00605776575552663,0.0291909363622574,0.0260875102535099,0,0.0017960019019513,0.000290854453010631,0.0112576274007859,0.000623625748100255,0,0.282487740044711,0.00214411670392784,0,0,0,0.000392645481383312,0.000392645478441651,0,0,0,0
