t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,164.0313278,123.1471025,4.663742915,36.16153586,8.102397345,13.7580416,5.655644254,672,26.59485502,3.75,45.22859811,97.27292388,0.9849877243,1.5,221.9013956,11.35639545,-0.005344036806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200209031,0.317390281,0.682609719,0.7572077343,0.06730446148,0.7507535552,0.02843202562,0.2204550578,0.03447904939,0.162132779,4.096778395
2,168.491895824,122.9819385,5.130117206,36.16153586,10.21915113732,11.192009753,0.972858615018,663.6,22.2482180188,3.75,48.1229344082,97.7868328702,1.06611595624,1.5,223.47339541,11.1355573314,-0.00403504841572,-3.330669074e-16,-0.001341192735,0.1,-1.25754434944e-16,0.261250306848,-0.1865114179,-0.82798447509,-0.0125,-0.163439018544,0.082364713905,0.0639935000382,0.005283165889,2.10202226e-16,0.00708422680416,0.0449243729926,0.329811720152,0.670188279848,0.830828018202,0.0725179843398,0.72989893293,0.0304472926606,0.21461904689,0.00577157446312,0.13204342902,3.93847208492
3,170.518262182,123.102990456,14.7503284478,36.7087920838,13.366403964,12.6826478262,-0.68375613706,662.27319684,17.3945013456,3.69409484184,49.2451587742,97.8878559088,1.07046984824,1.52325189768,218.226411808,11.2109369332,0.00029630539737812,-4.19664303314e-16,0.000984306412746,1.87524199844,0.0151336554886,0.309205499872,0.133213903228,-2.052216195104,-0.001999401988,-0.21815707987,0.00408387912866,0.0233507147044,0.001032562632744,0.0155012651466,-0.0234805580094,0.0181383940346,0.334697702316,0.665302297684,0.82743939645,0.074357773085,0.721938688254,0.0864979146568,0.215278968338,-0.004006700503224,0.1020137416364,3.88390580246
4,173.723698236,119.641252916,25.615490202,37.561843871,13.2587216148,13.6386558966,0.379934281216,644.631070502,15.7611200676,3.6941123446,43.613034555,106.161579818,1.06243695834,1.50030243034,222.846123118,10.6861933348,0.00940863034766,-0.013916101387,-0.0281205316568,0.736973992168,0.0232383876056,-0.00860546465356,0.0754063961888,-1.6433992313034,-0.026638742442,-0.093775935656,-0.00750438413676,-0.1143445798376,0.084521471952,-0.0150661011718,0.0211723395346,0,0.291189124402,0.708810875598,0.860748526908,0.0676558791296,0.688690761742,0.147445364786,0.216217497432,0.00218953684265,0.0907254269166,3.71068715502
5,175.612703574,121.31391246,28.088719858,37.7873649516,9.21981980368,13.7195321062,4.4997123032,640.25753456,11.2197857033,3.67206624292,45.0910281088,105.975145492,1.07417052096,1.50859501528,219.97121294,10.6881973212,0.032198588098,-0.0145882217552,0.0139805760972,0.097652524398,0.00600373787846,-0.2994032090978,0.005908101248532,-0.0228605491639999,-0.00678459051498,-0.287695817188,0.01105027698606,0.0338828544516,-0.0017527221114516,0.00552727502422,-0.01289117928856,0,0.298471478662,0.701528521338,0.892814241582,0.0704263956234,0.690817814022,0.159941093294,0.215179897738,0.02558829456476,0.0639048558414,3.64591473058
6,173.217897554,123.004070366,28.0208673414,38.0916407368,14.5512699564,13.190802784,-1.360467171844,627.329022174,9.88901495532,3.64273402844,41.040384261,107.328685856,1.08660536998,1.51157525088,221.544933868,10.3149316786,0.037919582601,-0.0192320067704,0.013932143498,-0.00241767957288,0.0080522598899,0.6597891232706,-0.0384090198514,-1.301699436074,-0.020192878429,-0.11578708780422,0.01157636344756,-0.0895334729932,0.0127743991996,0.00197550905694,0.007158552040228,0,0.27658602096,0.72341397904,0.921922075474,0.0654197663396,0.71014246178,0.161759500866,0.219914913944,-0.007892791884856,0.0571022895696,3.62174042464
7,163.832058214,123.415065084,28.2567278666,38.3735826782,26.828490664,12.4265654622,-14.4019252024,633.719768274,15.4105493446,3.61597011436,31.82176563,107.76627995,1.08790063286,1.51053380718,220.64329309,10.3859545408,0.0234556716018,-0.0265456820034,0.0033414673777364,0.008339991979,0.0074016100478,0.873612607044,-0.0579192081012,16.84777751182,0.01018775076802,0.561732189304,0.0011914593567559,-0.224313170184,0.0040747475271088,-0.000688977516006,-0.0040755251487144,0,0.227951546806,0.772048453194,0.933169942952,0.0502134207822,0.753330554048,0.172443067244,0.234236358484,-0.087948155958,0.0940767960912,3.86823782608
8,169.218360196,122.168863478,29.17174654,37.2153692874,11.32452505072,13.427071013,2.1025459623854,647.036729248,13.6200361964,3.62560183142,34.8017649336,109.372202486,1.07984831842,1.49692324388,221.441734302,10.5946549156,0.007557980492828,-0.018488111082,-0.01009931566744,0.03243911382756,-0.03017330999868,-0.578172847266,0.0804836692058,-1.153459477372,0.02100449727202,-0.1145465523044,-0.00739614094658,0.0938165945726,0.014873244131,-0.00901041892692,0.003579918129882,0,0.241364010986,0.758635989014,0.904078071482,0.053785803299,0.722073808138,0.172340650212,0.219948622996,0.012371281109364,0.0805027364342,3.82389471788
9,162.774797928,121.01443891,30.293886918,37.0773837012,14.6097317514,13.248972711,-1.3607590403244,679.868315898,14.0712882926,3.63910106248,29.050978535,109.1577379,1.07825364708,1.49651918666,221.088252558,11.1916514488,-0.02804746073668,-0.0171069119774,-0.009462661485196,0.03866352077638,-0.00370921712708,0.2991140191548,-0.013231953037568,-4.945146410042,0.050849855134,0.033513224469468,-0.0014748512334552,-0.16507004192,-0.001901486387326,-0.00026992121240768,-0.00145046981354,0,0.21014355327,0.78985644673,0.86095272069,0.0427323795776,0.743522770336,0.186028683328,0.227806272614,-0.008461289384698,0.0865089087668,4.17740511694
10,161.343556106,118.842699262,30.4796034388,37.039358961,10.5007438478,13.5324208026,3.031676954394,707.800892844,15.6704789232,3.64284478618,26.9738110848,109.595118266,1.0820885642,1.50013956494,223.400480016,11.543677831,-0.0518140301794,-0.00884014348756,-0.0179580441882,0.006284823063088,-0.0010270765266564,-0.2688055333064,0.021504206451668,0.0967885098421999,0.041086998358,0.1155892659564,0.003559312386208,-0.07104217668164,0.004004362188142,0.00241923453994,0.010462965276816,0.001449778411644,0.197476866092,0.802523133908,0.845529456404,0.0381099462698,0.736632863366,0.188839580162,0.229592546756,0.01870783773832,0.097174748462,4.3876128369
