t,Real_GDP,DEBT_FS,DEBT_FS_ST,DEBT_FS_LT,DEP_FS,FS_PR,GDP_G,Financial_Sector_Demand_Met,DEBT_FS_G,DEBT_FS_ST_G,DEBT_FS_LT_G,DEP_FS_G,DEBT_RT_C,DEBT_RT_K,DEBT_RT_I,DEBT_RT_1,DEBT_RT_2,DEBT_RT_3,DEBT_RT_FI,DEBT_RT_CL,FS_HHI,FS_LEV,FS_STR,FS_DR,FS_DEF,PONZI,SPEC,HEDGE,IR,IR_DEP,IR_ST,IR_LT
1,164.0313278,19.11800622,19.11800622,0,24.54091229,-0.0007733698859,-0.005344036806,1,0,0,0,0,0,0,0,0,0,0,0,0.04003272369,3.469446952e-17,0.6257346752,1,0,0,0,0,0.01666666667,0.0025,0.00125,0.005,0.0075
2,168.2286702,252.153592,39.65379082,212.4998012,43.68072908,1.834224768,-0.004427654574,1,12.18932472,1.074159321,0,0.5648091452,0.09650662779,0.005121014639,0.06493670682,0,0.01420294487,0.03398473862,0.08149985204,0.08315839412,-6.938893904e-17,3.133344357,0.1412983457,0,0,0.01666666667,0,0.9833333333,0.0025,0.00125,0.005,0.0075
3,169.7080895,399.2747872,55.72258704,343.5402999,67.53113922,2.852840596,-0.0006037139529,1,0.491845518,0.4052272404,0.5042323783,0.2871438091,0.1511442484,0.01267348335,0.1210765834,0.0002953030011,0.04405869869,0.1030047459,0.1366141255,0.1167564614,6.938893904e-17,3.439384788,0.1303411596,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
4,172.9598322,454.2902767,61.05774064,392.7044497,85.47546717,3.533990654,0.007610449516,1,0.1236560647,0.08682972334,0.1285356255,0.1949197407,0.1630746912,0.04453560493,0.1483927973,0.00051423722,0.08516119215,0.2021650894,0.1542732594,0.1298771436,-6.938893904e-17,3.037499966,0.1242055587,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
5,174.4984121,522.0188329,63.00419502,458.9701179,112.8418193,4.13490786,0.02950666987,1,0.1297413265,0.02632969598,0.1441440211,0.1386481608,0.1815893439,0.0683669965,0.1884858062,0.0006599187625,0.1397016889,0.295700083,0.1808367663,0.1325749706,6.938893904e-17,3.025805034,0.1126482581,0,0,0,0,1,0.0025,0.00125,0.005,0.0075
6,170.8116541,590.845902,67.34052841,522.9059943,136.0131057,4.699280258,0.03168161365,1,0.1107963601,0.05464044658,0.1144437923,0.09835953015,0.1984703068,0.1066058479,0.2280277117,0.0007307829612,0.1867282984,0.3475193892,0.2118905582,0.1410961624,-6.938893904e-17,3.078068978,0.1027616243,0,0,0,0,0.9836065574,0.0025,0.00125,0.005,0.0075
7,161.7883901,653.1621459,74.05754606,576.3487717,148.778147,5.247762257,0.01666494281,1,0.04250368001,0.09957498929,0.03408276232,0.05697762208,0.2157467909,0.1298856233,0.2706010284,0.00043547996,0.2243955566,0.3652499312,0.2352935928,0.155339016,6.938893904e-17,2.970768934,0.1092262386,0,0,0,0,0.9836065574,0.0025,0.00125,0.005,0.0075
8,165.6700489,677.933543,82.95650239,594.0584124,168.0062139,5.701267324,-0.001890686704,1,0.004287202489,0.05325064764,-0.005848386504,-0.136503185,0.2063933925,0.1687028942,0.2792604989,0.0002162638524,0.2602112861,0.3541454341,0.241491031,0.1773247363,-6.938893904e-17,3.023112275,0.1183479251,0,0,0.01492537313,0,0.9516129032,0.0025,0.00125,0.005,0.0075
9,157.9686891,706.4249544,80.09582789,625.0840694,177.5994857,6.223381331,-0.04371506239,1,0.03002531708,-0.05227270415,0.04027312353,-0.04617525312,0.2198256262,0.1444407752,0.2629280498,7.08402704e-05,0.3022555041,0.3523864807,0.2389926219,0.1723338727,6.938893904e-17,3.010924589,0.1069289065,0,0,0,0.01515151515,0.9032258065,0.0025,0.00125,0.005,0.0075
10,157.1341188,704.6667399,80.00148819,622.5038665,168.6746082,-6.330709648,-0.06871873023,1,-0.02385129372,-0.01095902722,-0.03021039037,-0.09768871971,0.2161450218,0.149639378,0.2288734639,0,0.3313735331,0.3556011942,0.2243064676,0.173293252,-6.938893904e-17,3.058511336,0.109273969,0,0,0,0,0.8870967742,0.0025,0.00125,0.005,0.0075
11,154.0032083,712.4498139,79.31182827,620.2041952,176.6682575,0.614738706,-0.07021607194,1,-0.004620234783,-0.02595783962,-0.01448050973,-0.06591162106,0.2202314859,0.1449783365,0.1971916097,0,0.3548050524,0.3579653173,0.2134822607,0.1721503404,6.938893904e-17,3.072566415,0.1044499639,0,0,0,0.046875,0.8923076923,0.0025,0.00125,0.005,0.0075
