t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,164.0313278,123.1471025,4.663742915,36.16153586,8.102397345,13.7580416,5.655644254,672,26.59485502,3.75,45.22859811,97.27292388,0.9849877243,1.5,221.9013956,11.35639545,-0.005344036806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200209031,0.317390281,0.682609719,0.7572077343,0.06730446148,0.7507535552,0.02843202562,0.2204550578,0.03447904939,0.162132779,4.096778395
2,170.99366826,122.9819385,5.130117206,36.16153586,4.8623715932,12.589329949,7.7269583575,663.6,22.057962311,3.75,51.399858178,97.204516438,1.0660558792,1.5,221.35479059,11.242133028,-0.00030360545571,-2.220446049e-16,-0.001341192735,0.1,1.7684217414e-16,-0.39988482594,-0.084947529734,0.36623840031,-0.0125,-0.17059287247,0.082303720921,0.1364459728,-0.00070325260511,3.7007434154e-16,-0.0024632788599,0.0539788192,0.34588388164,0.65411611836,0.82192366188,0.077456085265,0.71921925504,0.030001796352,0.2114788008,0.045188560536,0.12899870847,3.8808454583
3,165.77482854,123.52271538,7.9585736684,36.71489376,10.595147993,12.516266836,1.9211188423,662.38327884,20.58328132,3.6934809168,49.061945583,94.60257504,1.0955981888,1.5234324384,206.45728611,11.849909309,-0.0030471765331,-3.1086244691e-16,0.0043972054111,0.55134343882,0.015302389383,1.179005788,-0.0058035792683,-0.75138408298,-0.0018335159236,-0.066854812257,0.027711783579,-0.045484829201,-0.026767702344,0.01562162557,-0.067301481821,0.071377825778,0.34150355296,0.65849644704,0.81655375098,0.074068816568,0.74512347304,0.048008335883,0.22147447994,0.011588711714,0.12416409575,3.9956806944
4,170.54594598,119.11966513,14.218281544,35.644642806,4.0607212124,13.955734313,9.8950131012,644.09424626,19.877148015,3.6933120365,46.889161034,100.65474348,1.0985646922,1.5001242198,209.91034868,11.332655048,0.00132546820555,-0.013916176406,-0.035645673967,0.78652386506,-0.029150321361,-0.61671686117,0.115003059755,4.1538163634,-0.027610951473,-0.034304715409,0.0027076447455,-0.044286337202,0.063974648497,-0.015299804656,0.016725265582,0.016393965177,0.31779777635,0.68220222365,0.8456897515,0.072798602491,0.69846097629,0.08336917852,0.20900325171,0.058019332482,0.11655052501,3.776662749
5,172.48162922,119.91695767,16.985831439,35.809742329,5.5080424464,13.961840404,8.4537979577,638.4948272,10.318347822,3.6762841581,51.922851843,97.571279803,1.1055871821,1.5068927143,198.38545927,11.832055431,0.019376846878,-0.014614141421,0.0066931488178,0.19470471862,0.0046318179313,0.35718169634,0.0003756613462,-0.14584674766,-0.008693478197,-0.48088763128,0.0063925073768,0.10735441991,-0.030634045654,0.0045119561463,-0.054903761243,0.046800017795,0.34732357142,0.65267642858,0.82150406064,0.081320613959,0.69524722175,0.098474389884,0.20761574085,0.04900754583,0.059823216664,3.7018221245
6,169.68194615,121.18234909,18.746492299,36.072134016,9.1353156038,13.713830852,4.5785152469,628.60936514,12.076000885,3.6495425689,44.564361762,101.61244505,1.1076439798,1.5107373067,209.28236153,10.961918451,0.012280133718,-0.019238754067,0.0105519355048,0.10422282006,0.0073273819282,0.66105364743,-0.0176624168032,-0.45700990819,-0.015482435799,0.17033966965,0.00186217423783,-0.14172028432,0.041420709849,0.0025513379886,0.054936939869,0,0.30486385522,0.69513614478,0.89019991075,0.070893217656,0.71417506988,0.11047943902,0.21258765235,0.026989160118,0.071169565708,3.704638549
7,165.63683054,121.06658622,21.903059904,36.306144862,16.031042716,13.370914275,-2.660128439,638.41035372,16.947485187,3.6260195172,39.611617607,102.69380501,1.1065865326,1.5090791416,210.99696993,10.971486496,0.014859427286,-0.026376166919,-0.00095552108624,0.16849268186,0.0064872979197,0.77342265404,-0.0249868231926,-1.5723532821,0.015591507882,0.40355003405,-0.000954388149161,-0.111070748372,0.0106411879726,-0.0010975860966,0.0081913684931,0,0.27835534332,0.72164465668,0.90016502639,0.062048047916,0.73092068814,0.1322270173,0.21919261236,-0.0160710549086,0.10231582085,3.8542961072
8,174.59941312,121.21125397,26.177469732,36.848410553,5.1946518505,14.053570129,8.8589182783,641.24269364,12.197239208,3.6324335823,44.408388652,105.84602758,1.0965672409,1.4974722471,211.4022923,11.018216604,0.016465247567,-0.018238710832,0.00119484435543217,0.19609821354,0.0149354397,-0.67665452333,0.051145911914,-4.9407070633,0.0044361954652,-0.27988599297,-0.0090520371268,0.121257033584,0.030700812942,-0.0076913746029,0.00194572688301,0,0.29554701032,0.70445298968,0.8704950331,0.069252946884,0.69423330774,0.14993057846,0.21104683619,0.05072109159,0.069853840763,3.6726960803
9,170.26012294,121.85994845,27.856870331,36.794096018,10.252638199,13.807470453,3.5548322548,654.89113049,11.53454187,3.6377982176,39.26575389,106.72100096,1.0868020574,1.4995665939,214.64657399,11.099091207,0.00056203926938,-0.016276367052,0.0053500393151,0.064114343842,-0.00147462217207,1.0176578886,-0.01750082549,-0.59400510765,0.021282372338,-0.0533576381432,-0.0089052587082,-0.11576702132,0.0082684670868,0.0013985867802,0.0153514542073,0,0.26896389687,0.73103610313,0.85966950624,0.059956863439,0.71573138757,0.16360947658,0.21610587586,0.020884868447,0.067747099491,3.8464229455
10,171.15223177,121.14276732,28.359942538,36.75040994,8.4964109894,13.88617951,5.3897685212,683.14413001,13.722585664,3.6421240301,36.918913848,109.33758565,1.0899873917,1.4997668957,223.17547323,11.148116084,0.00466357118451,-0.011255224174,-0.0058851086399,0.0180357303549,-0.00118764072812,-0.162105920844,0.00572189577585,0.712502620509,0.043149269249,0.18967370819,0.00293180476214,-0.059756220802,0.024524286634,0.0001335828523436,0.039738869225,0,0.25241176046,0.74758823954,0.88516533949,0.054045115401,0.70787268527,0.16570358143,0.21474581032,0.031505512234,0.080172182522,3.991192457
