t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,164.0313278,123.1471025,4.663742915,36.16153586,8.102397345,13.7580416,5.655644254,672,26.59485502,3.75,45.22859811,97.27292388,0.9849877243,1.5,221.9013956,11.35639545,-0.005344036806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200209031,0.317390281,0.682609719,0.7572077343,0.06730446148,0.7507535552,0.02843202562,0.2204550578,0.03447904939,0.162132779,4.096778395
2,171.002046,122.9819385,5.130117206,36.16153586,4.876488207,12.5987942,7.75161689,663.6,22.05861534,3.75,51.41106836,97.20649076,1.066056179,1.5,221.3619739,11.24252634,-0.0002911099247,-2.220446049e-16,-0.001341192735,0.1,3.929826092e-16,-0.3981425498,-0.08425962304,0.3705983868,-0.0125,-0.1705683178,0.08230402521,0.1366938289,-0.0006829558561,7.401486831e-16,-0.002430907192,0.0540119158,0.3459381783,0.6541664857,0.8219535309,0.07747297825,0.7192519415,0.03000315985,0.2114884119,0.04533055056,0.1290083902,3.881021832
3,165.7958817,123.5240972,7.981578359,36.7149138,10.66254152,12.53633427,2.009192843,662.3836405,20.60027246,3.693482985,49.09353857,94.62236908,1.095703475,1.523433017,206.5288899,11.85353481,-0.003015322859,2.220446049e-16,0.004408441232,0.5558276815,0.01530294369,1.189369832,-0.004953369932,-0.740803387,-0.001832970973,-0.06611216773,0.02781092488,-0.04490416371,-0.02658383884,0.01562201109,-0.06700827496,0.07166296316,0.341690372,0.6586564958,0.8166997604,0.07411648075,0.7452159471,0.0481489338,0.2215018918,0.01211949529,0.1242664814,3.996175239
4,170.7104906,119.2261244,14.34956157,35.64969867,4.170817561,14.22342051,10.05260295,644.0958888,20.07996485,3.693319594,47.0018412,100.7110474,1.099044201,1.500125985,210.0971136,11.3407344,0.001559513048,-0.01391588894,-0.03479461011,0.7978350946,-0.02901207166,-0.6038034074,0.1345757229,4.32423283,-0.02760888836,-0.02425855219,0.003048932522,-0.04172133227,0.06444971194,-0.0152983569,0.01744315721,0.01712045151,0.3183952873,0.6828983693,0.8460154695,0.07297336006,0.6989263626,0.08417092518,0.2092682543,0.05891569113,0.1179052138,3.781984474
5,173.019885,120.034991,17.57624547,35.81509256,5.795883496,14.39132194,9.088305016,639.348721,10.39584339,3.676333932,52.11037256,97.84202038,1.107685487,1.506916751,199.317219,11.88809162,0.0203354159,-0.01461396259,0.006989375518,0.2426037066,0.004643695564,0.4663686348,0.01230699619,-0.09449100493,-0.007367003755,-0.4768893781,0.008046669037,0.1105917916,-0.02760081176,0.004527554679,-0.04992198177,0.04936211382,0.3478323469,0.6530242888,0.82357002,0.08150739558,0.6965217838,0.1016179658,0.208169002,0.05252751737,0.06030039589,3.70893569
6,170.3463702,121.4236168,18.94930325,36.07799794,10.16169149,14.05247631,5.453547876,630.1408713,12.25436703,3.649749674,45.06529916,101.7102214,1.108384615,1.510805691,209.6197769,10.97990885,0.01419317111,-0.01923253122,0.01156850812,0.1257678393,0.007383043368,0.9132045554,-0.008283756305,-0.3287011805,-0.01435844632,0.1838900229,0.003765547329,-0.134456338,0.04333773661,0.002596866502,0.05827033536,0,0.3070355261,0.6966302761,0.8917677852,0.07151676532,0.715082993,0.1112398416,0.2132531983,0.0321490832,0.0724547523,3.709370874
7,166.3118156,121.3859509,22.80250007,36.31373851,17.25539891,13.75560428,-1.199859545,640.6907305,17.79857553,3.626333538,40.19609608,103.2324779,1.10966467,1.509149342,212.7577929,11.05750885,0.01659016647,-0.02633800855,-0.0002769033567,0.2235994031,0.006586331503,1.061054103,-0.007804133362,-1.324101736,0.01854437171,0.4762973383,0.002193528349,-0.0913065319,0.01551734361,-0.001039340505,0.01609003717,0,0.2814149277,0.7245779935,0.9062696758,0.06290736127,0.7351991697,0.137130651,0.2198439646,-0.007215766689,0.1072957272,3.872187208
8,175.7732993,121.5527953,26.37358074,37.08777669,5.870134768,14.34639393,10.03249202,645.02768,12.87864569,3.632549464,45.24973,106.2571818,1.09791855,1.497495153,211.958425,11.06191561,0.01895468824,-0.01821075261,0.002625643114,0.2361316756,0.02139346456,-0.630755897,0.06681051074,-3.060284395,0.006769177876,-0.2616091126,-0.006641762296,0.1489953202,0.03374509503,-0.007618658955,0.008694971618,0,0.2990378298,0.7064727161,0.8741321434,0.07044849982,0.6972101903,0.1515520116,0.2123823688,0.05707631397,0.07357813746,3.691851655
9,171.1310803,122.3171335,28.68000435,37.04064642,11.94747694,14.08702524,4.473880234,659.9531136,11.69558197,3.639112796,39.87177497,107.1493276,1.089129892,1.500013065,216.1155145,11.17689001,0.004318805713,-0.0162535276,0.006944796247,0.08745204665,-0.0009065909367,1.969707583,-0.01187442956,-0.4705133447,0.02313921413,-0.006237517222,-0.006664378201,-0.1069877472,0.01272762985,0.001690851866,0.02259306348,0,0.2725907698,0.7344106301,0.8666326465,0.06068988394,0.7185354019,0.1680124356,0.2171055646,0.02623531609,0.06846467771,3.85641879
10,173.6668157,121.6314938,29.06318605,36.99928318,9.967401586,14.18877503,6.457740882,699.0205997,14.36936096,3.644193378,38.11485694,110.5885592,1.092263048,1.500269871,227.5497263,11.2777664,0.008743876128,-0.0110333494,-0.004576601649,0.03363630566,-0.0008267618026,0.0190325007,0.01486886321,2.737846607,0.0653159407,0.2500187657,0.004939911553,-0.03581296635,0.03634062202,0.0002887380327,0.05772140284,0,0.2568743731,0.7517488437,0.8993443095,0.0548216285,0.7148472448,0.1697268038,0.2174505534,0.03788299226,0.08311200144,4.037567971
