t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,164.0313278,123.1471025,4.663742915,36.16153586,8.102397345,13.7580416,5.655644254,672,26.59485502,3.75,45.22859811,97.27292388,0.9849877243,1.5,221.9013956,11.35639545,-0.005344036806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1200209031,0.317390281,0.682609719,0.7572077343,0.06730446148,0.7507535552,0.02843202562,0.2204550578,0.03447904939,0.162132779,4.096778395
2,170.9858972,122.9819385,5.130117206,36.16153586,4.847177309,12.58057368,7.704085476,663.6,22.0572583,3.75,51.38945978,97.20238798,1.066055486,1.5,221.3470465,11.24176821,-0.0003151961216,-2.220446049e-16,-0.001341192735,0.1,-1.964913046e-16,-0.4017601084,-0.08558397697,0.3621941429,-0.0125,-0.1706193441,0.08230332218,0.1362160652,-0.0007251338896,1.480297366e-16,-0.002498177733,0.05394811929,0.3458335143,0.6540618217,0.8218914621,0.07744041559,0.7191840182,0.03000032647,0.2114684398,0.04505684739,0.1289882713,3.880655323
3,165.7543661,123.5213932,7.933772481,36.7148732,10.52714142,12.49780999,1.836859743,662.382908,20.56296592,3.6934789,49.03353542,94.58489838,1.095496577,1.523431851,206.3941296,11.84580037,-0.003077244226,-6.661338148e-16,0.004386454298,0.5465090098,0.01530182092,1.171808612,-0.007295403802,-0.7615732914,-0.001834074793,-0.06780341375,0.02761617939,-0.04604506803,-0.02692824383,0.01562123428,-0.06755417406,0.07105479207,0.3413435042,0.658309628,0.8164346931,0.07402590174,0.7450291869,0.04785668958,0.2214463127,0.01108087083,0.1240355313,3.995172521
4,170.3059958,119.0313502,14.06706651,35.63943554,3.930723186,13.72298677,9.751034417,644.0929282,19.75121585,3.693302618,46.73295605,100.6043219,1.098116517,1.50012174,209.760757,11.32257836,0.0009729540175,-0.01391637896,-0.03637107746,0.7730614963,-0.02929256706,-0.6297649593,0.09607757505,4.00330418,-0.02761248493,-0.04041614065,0.002380821629,-0.04778278628,0.06361869258,-0.01530166674,0.01628027643,0.01549976275,0.3171016307,0.6816047127,0.8453789387,0.07255604026,0.6979987603,0.08244341783,0.2088293716,0.05725596666,0.1157517323,3.773018048
5,171.997486,119.7785559,16.41571248,35.80394188,5.18037785,13.59880688,7.847159492,637.9216008,10.24679309,3.676243532,51.75871702,97.23610029,1.10345077,1.506868466,197.274127,11.79226446,0.01829644982,-0.01461429474,0.006277385908,0.1567873729,0.004615851282,0.2703352177,-0.01194263611,-0.2005641865,-0.009584856941,-0.483883493,0.004297220377,0.1036910164,-0.03347988974,0.004496646125,-0.0595279602,0.04414386473,0.3469757112,0.6521676531,0.8188993228,0.0811352209,0.6936516343,0.09544158383,0.206935416,0.0455923501,0.05943631981,3.695142088
6,169.1313081,120.942922,18.43264141,36.06472563,8.112074551,13.44197276,3.474528929,627.3392405,11.89650856,3.649333863,44.23504459,101.4500928,1.107235917,1.510685943,208.7693565,10.94214835,0.01035994613,-0.01924154271,0.009720989632,0.07110142208,0.007283660292,0.4503183267,-0.03033419511,-0.573267968,-0.01660828768,0.1558501228,0.0006164894808,-0.1466660562,0.03935901911,0.002518633617,0.05131095399,0,0.3033697239,0.6929644739,0.8883461665,0.0705121595,0.7127155725,0.1089842065,0.2117140834,0.02048315766,0.06983717086,3.6987195
7,165.1062133,120.7571827,21.16738885,36.29760451,14.95546383,13.05435986,-3.996153342,636.1844991,16.17263987,3.625545838,39.09694694,102.1767547,1.103243698,1.508968888,209.3234108,10.89039706,0.01262913427,-0.02642297452,-0.001535759877,0.1170536759,0.006389181701,0.4717494472,-0.04096911618,-1.740278807,0.01395931906,0.3303496579,-0.004164764158,-0.1322703261,0.006287903599,-0.001192288311,0.001138711485,0,0.2754220065,0.7185850723,0.8945925253,0.06116555839,0.7268597853,0.1282046776,0.2183473157,-0.02418690251,0.09768035722,3.842017178
8,173.6038515,120.866046,25.91942811,36.67537579,4.023115611,13.77842044,7.9651849,638.2615186,11.72835701,3.632231791,43.83995892,105.3855936,1.095153515,1.497451631,210.4369116,10.97115915,0.01358128837,-0.01828142149,-0.0006276322139,0.1483687927,0.01028527365,-0.7336935802,0.03225789749,-9.010124281,0.002625350226,-0.3191603346,-0.01099620674,0.09448838274,0.02801060674,-0.007735294273,-0.004499667298,0,0.2935272839,0.7009621702,0.8671201288,0.0684016441,0.6909121969,0.1483011664,0.2100252104,0.0457707964,0.06738081561,3.650808475
9,169.2722527,121.3813832,27.24393963,36.61491818,9.473331763,13.53015895,1.727663428,651.2904764,11.42867143,3.635595872,38.74906113,106.2899084,1.083903727,1.499291512,213.7934582,11.03140303,-0.003270949399,-0.01631761958,0.003901399412,0.04327739816,-0.001807326506,0.6327907659,-0.02706871689,-0.8277931919,0.02003047483,-0.1048700624,-0.0106085902,-0.1334019013,0.004403055003,0.001217209959,0.008912272113,0,0.2655893699,0.7274092302,0.8520223134,0.05925323008,0.7124375895,0.1609474631,0.2146687168,0.01015139868,0.06721471448,3.834235611
10,169.2071121,120.6256861,27.37787808,36.56607712,7.420733275,13.54242448,4.021025427,668.7814009,12.94465147,3.638604131,36.00012813,108.1003031,1.087658791,1.499505424,219.6286581,11.02733031,-0.001900363904,-0.01165510801,-0.006703297384,0.004916265851,-0.001394158057,-0.3788869973,-0.001012406682,-0.04745807894,0.02629953423,0.1263578713,0.0009189200444,-0.08316575597,0.01498147855,-1.305454463e-05,0.02486527325,0,0.2482511563,0.7431256269,0.8717808431,0.05302117473,0.697393893,0.159040676,0.2112093242,0.02363219309,0.07607773406,3.949888155
11,168.508063,119.9087036,27.76419988,36.53715624,4.728286841,13.67161292,6.775446119,687.0714557,12.25573041,3.639567499,35.32467828,108.4865199,1.086594981,1.499621535,221.125514,11.20984494,0.004284140098,-0.004513982432,-0.006719755421,0.006161152374,-0.0009685071428,-0.5256249284,0.001019670447,0.04919758209,-0.007057085276,-0.1126232459,-0.001773659776,-0.03565936015,-0.008408017339,7.537461138e-05,-0.01195802414,0,0.2445209668,0.7394490194,0.8502276578,0.05093590153,0.7023726297,0.1629887251,0.2111962753,0.03990793581,0.07057133461,3.995622037
12,170.6516487,120.1663858,29.02264337,38.38817539,3.207402963,13.62445657,4.271498215,712.2522142,12.73518193,3.641619518,33.99849134,110.5861492,1.087604242,1.499743752,222.3384155,11.4584707,-0.004878800407,0.001366882597,-0.002836220528,-0.001103932305,0.04800349218,-0.457632038,-0.005744184841,-0.5476809053,0.02911610964,-0.01034116835,-0.002715356147,-0.0852777377,0.01935382637,-0.0004747746033,-0.0001786311796,0,0.232451259,0.7572003084,0.8485648516,0.04760360151,0.6984179711,0.1698677787,0.2235855074,0.02500082106,0.07273861425,4.080231547
13,162.647662,120.2201846,27.42680957,38.39335951,6.253837355,13.6355395,3.200474986,723.7639967,20.24529289,3.642834725,25.82267253,111.7939337,1.093142974,1.500283762,225.3364733,11.43606552,-0.01127211824,0.00138899137,-0.007198328875,-0.07397148526,-0.0004756537134,-0.3109403887,-0.01657953462,-0.5756268054,0.01332221298,0.3856288438,0.003078409211,-0.251285837,0.005152570401,0.000113291818,0.007529941216,0,0.1867401541,0.7906097698,0.8335191421,0.03551277513,0.7260946284,0.1677323579,0.231902839,0.0194336365,0.1199726524,4.302518397
