t,Real_GDP,C_r,I_r,G_r,M_r,X_r,NX_r,K_r,INVE_r,P,PROFITS,WAGE,PROD,MK,EMP,KL,GDP_G,P_G,CON_G,INV_G,GOV_G,M_G,X_G,NX_G,K_G,INVE_G,PROD_G,PROFITS_G,WAGE_G,MK_G,EMP_G,U,Profit_Share,Wage_Share,PCU,PR,CGDP,IGDP,GGDP,NXGDP,INVGDP,KGDP
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.00641970994450149,0,0,0,0.0116531711365052,0.00724226282302152,0.0188954125540482,0,0.000539470297471935,0,0.00859017279541051,0.00163099832155769,2.28680660431549e-07,0,0.00593417942945967,0.000301382609422188,9.57511234403908e-06,0,0,0,2.352431231504e-16,0.0014382373966933,0.000526402038710677,0.00334098319632763,0,2.02847640268877e-05,2.3209737872296e-07,0.000189927904313068,1.67672551485423e-05,1.87893481188169e-16,2.67424113301512e-05,2.53613613227628e-05,4.16077561707665e-05,4.16077561707437e-05,2.46745771493638e-05,1.29448045029613e-05,2.70019712004576e-05,1.12637087893153e-06,7.93963629870057e-06,0.000108806904633658,7.99797797168551e-06,0.00014570058544312
3,0.0121883054627666,0.00108020524572256,0.0190040852924066,1.58128934730199e-05,0.041501069081939,0.0121006334728722,0.053393374535299,0.000285285810668029,0.0128668390115306,1.59089169963475e-06,0.0233740603645931,0.0131919878422971,7.89919874443076e-05,4.53030094639485e-07,0.0474484727068415,0.00272334553113357,2.0158016063707e-05,3.08740494132833e-16,8.78333180737239e-06,0.00370441541968489,4.37285169884437e-07,0.00578700547754842,0.000765746303237601,0.00648593404184518,4.29904719643081e-07,0.000587995743040908,7.42418812187538e-05,0.000364659892729969,0.000120537761641283,3.01968145597417e-07,0.000191141780155224,0.000214214195674942,0.000135153111080396,0.000135153111080398,9.29945147975892e-05,3.52729960865991e-05,5.55369534212976e-05,0.000114532189866438,1.63120142097891e-05,0.000321568207883038,8.0937276881097e-05,0.000294289291924372
4,0.117419722298171,0.0640822711427027,0.0909361103307139,0.00407622356550849,0.0808981422391132,0.164141032746357,0.108416812378657,0.000884319113098862,0.107279322587154,5.07076422577296e-06,0.0952912674522128,0.0329007265478989,0.000300089819847267,1.27341254552868e-06,0.105420423792925,0.00569064213178664,0.000173032435537858,1.66748872673226e-07,0.000515974752384576,0.00791616162121034,0.000111428813284451,0.00859975473488329,0.0126128635011835,0.137494844203106,1.06856890137191e-06,0.00546824186897766,0.000209253444179579,0.00200679278427585,0.000223543670126801,1.02968620428436e-06,0.00031756753664494,0.000514360655544652,0.000440674671577274,0.000440674671577272,0.00021670106424335,0.000147916583008806,0.000342840132529204,0.000523747132684096,0.000138811036248322,0.000603294198361008,0.000705850318671311,0.00260146357689618
5,0.382620207067837,0.0810530768541353,0.46035509225172,0.00435677126292717,0.257210019264571,0.26675999450569,0.474205308593687,0.730091042683916,0.0451127890304708,3.54361347135099e-05,0.127833316908569,0.208822520119248,0.00167972779329245,1.70612201533937e-05,0.709247877105057,0.0309259131474988,0.00069812900096337,1.13296497489363e-07,0.000199955735541171,0.0338211518262651,1.08090177849548e-05,0.0749508049249379,0.00943286688701501,0.0427540568558807,0.00113316582243591,0.00214530017076845,0.00156581234378159,0.00243335666488202,0.00205916574517165,1.08735605968652e-05,0.00337799783384935,0.00169475854261739,0.000265638190097894,0.000265638190097884,0.00144751367750538,0.000119587938653416,0.00125188386688456,0.00245827767925366,0.00046212372258616,0.00264066658130903,0.000309093341969992,0.0046122019586525
6,0.366181282833909,0.152735094796344,0.143991346081148,0.00475790412175532,0.848383908625445,0.19014663735529,0.807460818980706,1.02823776908579,0.141039979638711,0.000118483494690631,0.270270304782566,0.0701556756731502,0.000339382679637236,3.42985401699783e-05,0.224787150044069,0.0113851584891268,0.00115937697727267,2.99362172027278e-06,0.000701742483744052,0.02390465026141,2.98713186091944e-05,0.164277626823595,0.00734099215467164,0.100633182474057,0.00116175774704792,0.0123844370929469,0.00134215084998207,0.00463318823732811,0.00167834876595848,2.5246969854379e-05,0.00286071571222535,0,0.00117949418561092,0.00117949418561091,0.00121024959195479,0.000340365777996933,0.000964053234776643,0.000694422121394844,0.000463715393047747,0.00479886514445399,0.000918408705677285,0.00414036242594497
7,0.444970675717771,0.186373655703158,0.67760467632599,0.00651676384446816,0.799812268309996,0.23458793270169,0.953873510055883,1.44114315742537,0.721153056171338,0.000302129781845451,0.375602064459356,0.400082476958245,0.00183444328193998,5.7180499761113e-05,1.30179467511151,0.0565517807212224,0.00124740138465726,2.22524993534486e-05,0.000490373476981043,0.0389107935326663,6.90483017406648e-05,0.231476937233683,0.0122417147146866,0.156254275028093,0.00155762246714727,0.06131923100541,0.00181669325506097,0.0131393896495864,0.00363138752500761,4.72323319552665e-05,0.00585847353530823,0,0.00240703331012585,0.00240703331012585,0.00416281858994658,0.000659139620004356,0.00229314188242158,0.00375589171451849,0.000561878449484005,0.00578953264883654,0.00431045512304452,0.0112137147197369
8,0.815025314023809,0.239096916964705,0.15602840315544,0.147224791474028,0.70205130154028,0.215799581702726,0.798017597791117,1.78141654541765,0.416793616200606,0.000118670893203705,0.488858019969693,0.268554077014348,0.00104883264267709,1.45880166457053e-05,0.502668338829871,0.0282714002895197,0.0019917199276265,2.23132577201642e-05,0.00114155994932268,0.0346110282115159,0.00391476127190654,0.0347182030758056,0.0114798948129822,2.01014512184582,0.00135730874029969,0.0174687894972884,0.00174214482436049,0.0210394816802537,0.00179623423590476,3.30277570865605e-05,0.00474971645084286,0,0.00187504857633902,0.00187504857633902,0.00235888078824265,0.000661515371704777,0.00209818803500953,0.000960901203220177,0.000627703194986313,0.0043401543439015,0.00220751525231239,0.0133696795076243
9,0.613002672628703,0.36378382455256,0.452433638876706,0.15359242615073,0.890729877032895,0.209899457957737,0.954174199716664,2.41341753873457,0.0902393118431137,0.00105322447156394,0.393404531956605,0.310126525138864,0.00164893284721621,0.000313312025468571,0.747256524841498,0.0500285737893791,0.00246161708277162,2.29457424580201e-05,0.00110009828384094,0.0127601508085686,0.000273009010024011,0.411738963159538,0.00435876575211072,0.115867347948844,0.00126658187809984,0.0325787182610502,0.00114034436254622,0.00739232944450129,0.00255158760205209,0.000201812999828723,0.00422811522433643,0,0.0019697274810439,0.00196972748104387,0.00446044736325273,0.000450227456930165,0.0017894835042437,0.002284807826436,0.000732596621753093,0.00562832248875595,0.000546456822087594,0.00864183650941686
10,1.7316253592931,0.364102183073205,0.568105886009402,0.156748153393285,0.75124772554544,0.200754764961542,0.749402668745721,12.1931737492424,0.421640070385479,0.00169943466057761,0.673615952961304,0.88597942847239,0.00148914165264023,0.000268335429412917,2.88170687375043,0.0815644512901977,0.00312973988851689,0.000184894126664347,0.00072319120744118,0.00967106434581833,0.000188401111324493,0.129256462124556,0.00508219516591502,0.853913500731386,0.0187094906084359,0.0346912660470572,0.00123446258241232,0.0151456967814683,0.00862890698287145,9.90408393238392e-05,0.0133005547185783,0,0.00268276442948717,0.00268276442948716,0.0107942101891002,0.000579536558085279,0.00750559668043339,0.00307586438649546,0.00259704935755991,0.00448267081133502,0.00211144068607548,0.0349544292441438
